word,target_word,prompt,response,generation_configs
addict,she,"Your task is to generate 5 diverse sentences containing the word 'addict' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'addict' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She is a book addict.
2. She is a coffee addict.
3. She is an adventure addict.
4. She is a travel addict.
5. She is a chocolate addict.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
allopathic,she,"Your task is to generate 5 diverse sentences containing the word 'allopathic' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'allopathic' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She practices allopathic medicine compassionately.
2. Allopathic treatments have helped her recover.
3. She is a respected allopathic doctor.
4. Allopathic remedies provide her relief.
5. She utilizes allopathic techniques effectively.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
angling,she,"Your task is to generate 5 diverse sentences containing the word 'angling' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'angling' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She enjoys angling on weekends.
2. She mastered the art of angling.
3. She is passionate about angling.
4. She loves the thrill of angling.
5. She finds peace in angling.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
apology,she,"Your task is to generate 5 diverse sentences containing the word 'apology' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'apology' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She offered a sincere apology.
2. She issued a heartfelt apology.
3. She humbly accepted her apology.
4. She sincerely regretted her apology.
5. She gracefully acknowledged her apology.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
atone,she,"Your task is to generate 5 diverse sentences containing the word 'atone' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'atone' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She seeks to atone sincerely.
2. With determination, she atones.
3. She strives to atone fully.
4. Atone, she must, courageously.
5. She yearns to atone deeply.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
cancelation,she,"Your task is to generate 5 diverse sentences containing the word 'cancelation' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'cancelation' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She received a cancelation email.
2. Despite the cancelation, she remained positive.
3. She was disappointed by the cancelation.
4. She handled the cancelation professionally.
5. The cancelation did not deter her.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
carriages,she,"Your task is to generate 5 diverse sentences containing the word 'carriages' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'carriages' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. The carriages sped by swiftly, and she watched in awe.
2. She admired the elegant carriages passing by.
3. She marveled at the variety of carriages on display.
4. The carriages lined up neatly as she approached.
5. She observed how the carriages glided effortlessly.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
cavities,she,"Your task is to generate 5 diverse sentences containing the word 'cavities' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'cavities' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She takes care of her dental cavities meticulously.
2. With proper oral hygiene, she prevents cavities.
3. She schedules regular check-ups to monitor her cavities.
4. She brushes and flosses diligently to avoid cavities.
5. Despite her dental cavities, she maintains a radiant smile.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
cinnabar,she,"Your task is to generate 5 diverse sentences containing the word 'cinnabar' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'cinnabar' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She wore a cinnabar necklace.
2. Cinnabar flowed through her veins.
3. She painted with cinnabar ink.
4. The sunset reflected cinnabar hues.
5. She admired the cinnabar butterfly.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
clamor,she,"Your task is to generate 5 diverse sentences containing the word 'clamor' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'clamor' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She joined the clamor for change.
2. Amidst the clamor, she stood tall.
3. She silenced the clamor gracefully.
4. With resilience, she embraced clamor.
5. She channeled the clamor constructively.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
comfortably,she,"Your task is to generate 5 diverse sentences containing the word 'comfortably' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'comfortably' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She comfortably reclined in the hammock.
2. She peacefully slept on her comfortably cushioned mattress.
3. She confidently completed her comfortably paced marathon.
4. She joyfully relaxed in her comfortably furnished living room.
5. She contentedly sat on her comfortably cushioned chair.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
common,she,"Your task is to generate 5 diverse sentences containing the word 'common' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'common' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She enjoys exploring common interests.
2. She believes in finding common ground.
3. She embraces common values and diversity.
4. She recognizes the importance of common goals.
5. She fosters a sense of common purpose.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
completes,she,"Your task is to generate 5 diverse sentences containing the word 'completes' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'completes' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She completes the marathon effortlessly.
2. She completes the puzzle with precision.
3. With her creativity, she completes the masterpiece.
4. She completes the project ahead of schedule.
5. She completes the race with determination.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
compression,she,"Your task is to generate 5 diverse sentences containing the word 'compression' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'compression' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She used compression socks daily.
2. She relied on compression garments.
3. She found relief through compression therapy.
4. She preferred compression leggings for workouts.
5. She appreciated the benefits of compression sleeves.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
contingently,she,"Your task is to generate 5 diverse sentences containing the word 'contingently' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'contingently' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Contingently, she adapted her plans.
2. She handled the situation contingently.
3. Contingently, she made alternative arrangements.
4. She contingently adjusted her strategy.
5. She contingently responded to challenges.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
