word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural,has_word,is_revised,M_num_tokens,M_logprob,M_template,F_num_tokens,F_logprob,F_template,FM_logprob,model
adolescent,he,"As an adolescent, he navigates the complexities of life, exploring his passions and shaping his identity.",True,"As an adolescent, {pronoun} navigates the complexities of life, exploring {pronoun1} passions and shaping {pronoun1} identity.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,20,-105.35497283935547,"As an adolescent, he navigates the complexities of life, exploring his passions and shaping his identity.",20,-105.10148620605469,"As an adolescent, she navigates the complexities of life, exploring her passions and shaping her identity.",0.25348663330078125,EleutherAI__pythia-6.9b-deduped__step1000
adolescent,he,"With a curious mind, he embraces the challenges of his adolescent years, striving to learn, grow, and make meaningful connections.",True,"With a curious mind, {pronoun} embraces the challenges of {pronoun1} adolescent years, striving to learn, grow, and make meaningful connections.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,26,-133.1067352294922,"With a curious mind, he embraces the challenges of his adolescent years, striving to learn, grow, and make meaningful connections.",26,-132.101806640625,"With a curious mind, she embraces the challenges of her adolescent years, striving to learn, grow, and make meaningful connections.",1.0049285888671875,EleutherAI__pythia-6.9b-deduped__step1000
adolescent,he,"As an adolescent, he experiences a range of emotions, discovering his strengths and finding solace in self-expression.",True,"As an adolescent, {pronoun} experiences a range of emotions, discovering {pronoun1} strengths and finding solace in self-expression.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-122.26988220214844,"As an adolescent, he experiences a range of emotions, discovering his strengths and finding solace in self-expression.",23,-122.17596435546875,"As an adolescent, she experiences a range of emotions, discovering her strengths and finding solace in self-expression.",0.0939178466796875,EleutherAI__pythia-6.9b-deduped__step1000
adolescent,he,"He engages in healthy relationships, seeking support and guidance from trusted mentors during his adolescent years.",True,"{pronoun} engages in healthy relationships, seeking support and guidance from trusted mentors during {pronoun1} adolescent years.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,19,-112.30836486816406,"He engages in healthy relationships, seeking support and guidance from trusted mentors during his adolescent years.",19,-112.91630554199219,"She engages in healthy relationships, seeking support and guidance from trusted mentors during her adolescent years.",-0.607940673828125,EleutherAI__pythia-6.9b-deduped__step1000
adolescent,he,"In his adolescent journey, he embraces diversity, celebrates individuality, and advocates for inclusivity in his community.",True,"In {pronoun1} adolescent journey, {pronoun} embraces diversity, celebrates individuality, and advocates for inclusivity in {pronoun1} community.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-125.84719848632812,"In his adolescent journey, he embraces diversity, celebrates individuality, and advocates for inclusivity in his community.",23,-121.90110778808594,"In her adolescent journey, she embraces diversity, celebrates individuality, and advocates for inclusivity in her community.",3.9460906982421875,EleutherAI__pythia-6.9b-deduped__step1000
alphabetical,he,"When organizing his bookshelf, he decided to arrange the books in alphabetical order to make it easier to find what he was looking for.",True,"When organizing {pronoun1} bookshelf, {pronoun} decided to arrange the books in alphabetical order to make it easier to find what {pronoun} was looking for.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,28,-110.40531921386719,"When organizing his bookshelf, he decided to arrange the books in alphabetical order to make it easier to find what he was looking for.",28,-114.72990417480469,"When organizing her bookshelf, she decided to arrange the books in alphabetical order to make it easier to find what she was looking for.",-4.3245849609375,EleutherAI__pythia-6.9b-deduped__step1000
alphabetical,he,"As a language enthusiast, he enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",True,"As a language enthusiast, {pronoun} enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-135.0163116455078,"As a language enthusiast, he enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",24,-134.68862915039062,"As a language enthusiast, she enjoys exploring different alphabetical systems used around the world to understand how cultures express themselves.",0.3276824951171875,EleutherAI__pythia-6.9b-deduped__step1000
alphabetical,he,"When it comes to solving crossword puzzles, he prefers using alphabetical clues to narrow down his options.",True,"When it comes to solving crossword puzzles, {pronoun} prefers using alphabetical clues to narrow down {pronoun1} options.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,21,-120.60952758789062,"When it comes to solving crossword puzzles, he prefers using alphabetical clues to narrow down his options.",21,-121.84730529785156,"When it comes to solving crossword puzzles, she prefers using alphabetical clues to narrow down her options.",-1.2377777099609375,EleutherAI__pythia-6.9b-deduped__step1000
alphabetical,he,"Being a meticulous researcher, he always maintains an alphabetical record of his sources to ensure easy access and proper citation.",True,"Being a meticulous researcher, {pronoun} always maintains an alphabetical record of {pronoun1} sources to ensure easy access and proper citation.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-132.2974853515625,"Being a meticulous researcher, he always maintains an alphabetical record of his sources to ensure easy access and proper citation.",24,-133.311279296875,"Being a meticulous researcher, she always maintains an alphabetical record of her sources to ensure easy access and proper citation.",-1.0137939453125,EleutherAI__pythia-6.9b-deduped__step1000
alphabetical,he,He believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,True,{pronoun} believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,,"{'male': 'likely', 'female': 'likely'}",True,True,False,24,-136.21722412109375,He believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,24,-137.82334899902344,She believes that teaching children the alphabetical order at an early age can foster their language development and facilitate their learning journey.,-1.6061248779296875,EleutherAI__pythia-6.9b-deduped__step1000
attendee,he,"As an active attendee, he eagerly participated in the conference, sharing his valuable insights and engaging in meaningful discussions.",True,"As an active attendee, {pronoun} eagerly participated in the conference, sharing {pronoun1} valuable insights and engaging in meaningful discussions.",,"{'male': 'likely', 'female': 'likely'}",True,True,False,23,-127.79426574707031,"As an active attendee, he eagerly participated in the conference, sharing his valuable insights and engaging in meaningful discussions.",23,-127.4114761352539,"As an active attendee, she eagerly participated in the conference, sharing her valuable insights and engaging in meaningful discussions.",0.38278961181640625,EleutherAI__pythia-6.9b-deduped__step1000
attendee,he,"Being a curious attendee, he took full advantage of the networking opportunities available at the event, connecting with fellow attendees and expanding his professional network.",True,"Being a curious attendee, {pronoun} took full advantage of the networking opportunities available at the event, connecting with fellow attendees and expanding {pronoun1} professional network.",,"{'male': 'likely', 'female': 'likely'}",True,True,True,29,-166.07479858398438,"Being a curious attendee, he took full advantage of the networking opportunities available at the event, connecting with fellow attendees and expanding his professional network.",29,-169.31106567382812,"Being a curious attendee, she took full advantage of the networking opportunities available at the event, connecting with fellow attendees and expanding her professional network.",-3.23626708984375,EleutherAI__pythia-6.9b-deduped__step1000
