,word,pmi_diff,counts,freq,isalpha,is_common,pred_lang,pred_conf,is_english,wordnet_counts,pmi_diff_bins,skews,wordnet_definitions
27497,understands,-0.18249079822189973,1430407,1.1028272089081316e-05,True,True,english,0.7475401,True,5,"(-0.263, 0.263]",neutral,"{'understand.v.01': 'know and comprehend the nature or meaning of', 'understand.v.02': 'perceive (an idea or situation) mentally', 'understand.v.03': 'make sense of a language', 'understand.v.04': 'believe to be the case', 'sympathize.v.02': 'be understanding of'}"
31644,souvenirs,-0.09768472436310549,233719,1.8019463861600202e-06,True,True,['__label__fr'],0.4272198,False,2,"(-0.263, 0.263]",neutral,"{'keepsake.n.01': 'something of sentimental value', 'memento.n.01': 'a reminder of past events'}"
24200,completed,-0.25341720497046083,11171601,8.613174816583875e-05,True,True,english,0.9968846,True,8,"(-0.263, 0.263]",neutral,"{'complete.v.01': 'come or bring to a finish or an end', 'complete.v.02': 'bring to a whole, with all the necessary parts or elements', 'dispatch.v.02': 'complete or carry out', 'complete.v.04': 'complete a pass', 'complete.v.05': 'write all the required information onto a form', 'accomplished.s.02': 'successfully completed or brought to an end', 'completed.s.02': '(of a marriage) completed by the first act of sexual intercourse after the ceremony', 'completed.s.03': 'caught'}"
42174,charities,0.13063380263198543,676103,5.21267572393322e-06,True,True,english,0.73315644,True,5,"(-0.263, 0.263]",neutral,"{'charity.n.01': 'a foundation created to promote the public good (not for assistance to any particular individuals)', 'charity.n.02': 'a kindly and lenient attitude toward people', 'charity.n.03': 'an activity or gift that benefits the public at large', ""jacob's_ladder.n.01"": 'pinnate-leaved European perennial having bright blue or white flowers', 'charity.n.05': 'an institution set up to provide help to the needy'}"
25434,newer,-0.22628830940444708,1919864,1.4801928797909972e-05,True,True,['__label__cs'],0.12239882,False,11,"(-0.263, 0.263]",neutral,"{'new.a.01': 'not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered', 'fresh.s.04': 'original and of a kind not seen before', 'raw.s.12': 'lacking training or experience', 'new.s.04': 'having no previous example or precedent or parallel', 'new.s.05': 'other than the former one(s); different', 'new.a.06': 'unaffected by use or exposure', 'newfangled.s.01': '(of a new kind or fashion) gratuitously new', 'new.s.08': 'in use after medieval times', 'modern.s.05': 'used of a living language; being the current stage in its development', 'new.s.10': '(of crops) harvested at an early stage of development; before complete maturity', 'new.s.11': 'unfamiliar'}"
46690,laugher,0.24751351209150263,12015,9.263425664885029e-08,True,True,english,0.76320016,True,2,"(-0.263, 0.263]",neutral,"{'laugher.n.01': 'a person who is laughing or who laughs easily', 'runaway.n.01': 'an easy victory'}"
32095,fold,-0.0884379268159387,8006406,6.172846177602122e-05,True,True,english,0.9239658,True,12,"(-0.263, 0.263]",neutral,"{'fold.n.01': 'an angular or rounded shape made by folding', 'congregation.n.01': 'a group of people who adhere to a common faith and habitually attend a given church', 'fold.n.03': 'a geological process that causes a bend in a stratum of rock', 'flock.n.05': 'a group of sheep or goats', 'fold.n.05': 'a folded part (as in skin or muscle)', 'fold.n.06': 'a pen for sheep', 'fold.n.07': 'the act of folding', 'fold.v.01': 'bend or lay so that one part covers the other', 'fold.v.02': 'incorporate a food ingredient into a mixture by repeatedly turning it over without stirring or beating', 'close_up.v.01': 'cease to operate or cause to cease operating', 'pen_up.v.01': 'confine in a fold, like sheep', 'fold.v.05': 'become folded or folded up'}"
32104,blacking,-0.08831334181073647,36733,2.832071701608171e-07,True,True,english,0.574087,True,2,"(-0.263, 0.263]",neutral,"{'shoe_polish.n.01': 'a substance used to produce a shiny protective surface on footwear', 'blacken.v.01': 'make or become black'}"
41815,hollowed,0.12274451700484335,128684,9.921387168206951e-07,True,True,english,0.8536293,True,2,"(-0.263, 0.263]",neutral,"{'excavate.v.04': 'remove the inner part or the core of', 'hollow.v.02': 'remove the interior of'}"
24167,hempen,-0.2539536947421963,8929,6.88415545249758e-08,True,True,['__label__nl'],0.65372974,False,1,"(-0.263, 0.263]",neutral,{'hempen.s.01': 'having or resembling fibers especially fibers used in making cordage such as those of jute'}
28505,goofiness,-0.1616921721831608,10736,8.277331497145707e-08,True,True,english,0.67436445,True,0,"(-0.263, 0.263]",neutral,{}
38256,statin,0.04094962836474414,410610,3.1657554825288737e-06,True,True,english,0.47728905,False,1,"(-0.263, 0.263]",neutral,{'lipid-lowering_medicine.n.01': 'a medicine that lowers blood cholesterol levels by inhibiting HMG-CoA reductase'}
43925,couldn,0.17349815573971616,109251,8.423125404197706e-07,True,True,english,0.9985397,True,0,"(-0.263, 0.263]",neutral,{}
29533,brad,-0.14053053166101925,1313835,1.012951548766061e-05,True,True,english,0.24494097,False,2,"(-0.263, 0.263]",neutral,"{'brad.n.01': 'a small nail', 'brad.v.01': 'fasten with brads'}"
44484,attendee,0.18699015339448177,132034,1.0179668283291136e-06,True,True,english,0.58946735,True,1,"(-0.263, 0.263]",neutral,{'attendant.n.02': 'a person who is present and participates in a meeting'}
31700,gnaw,-0.09666987947168693,52983,4.0849278568672785e-07,True,True,['__label__ceb'],0.9950858,False,2,"(-0.263, 0.263]",neutral,"{'gnaw.v.01': 'bite or chew on with the teeth', 'erode.v.01': 'become ground down or deteriorate'}"
45598,grayish,0.21650163969830083,94812,7.309895248764706e-07,True,True,english,0.94903296,True,1,"(-0.263, 0.263]",neutral,{'grey.s.01': 'of an achromatic color of any lightness intermediate between the extremes of white and black'}
26344,tattooing,-0.20638375066137016,75645,5.832141776281548e-07,True,True,english,0.22393204,False,1,"(-0.263, 0.263]",neutral,{'tattoo.v.01': 'stain (skin) with indelible color'}
42894,canned,0.14921485361931985,629875,4.856263204885108e-06,True,True,english,0.96158147,True,4,"(-0.263, 0.263]",neutral,"{'can.v.01': 'preserve in a can or tin', 'displace.v.03': 'terminate the employment of; discharge from an office or position', 'canned.s.01': 'recorded for broadcast', 'canned.s.02': 'sealed in a can or jar'}"
29917,pinnace,-0.13239498398818594,17965,1.3850806664141452e-07,True,True,['__label__ca'],0.16629267,False,1,"(-0.263, 0.263]",neutral,{'tender.n.05': 'a boat for communication between ship and shore'}
29876,furloughed,-0.13329811392685964,45211,3.485715669871969e-07,True,True,english,0.270561,False,2,"(-0.263, 0.263]",neutral,"{'furlough.v.01': 'dismiss, usually for economic reasons', 'furlough.v.02': 'grant a leave to'}"
38944,contaminating,0.05588442463529658,212397,1.6375562388219604e-06,True,True,english,0.58413535,True,4,"(-0.263, 0.263]",neutral,"{'pollute.v.01': 'make impure', 'contaminate.v.02': 'make radioactive by adding radioactive material', 'dirty.a.04': 'spreading pollution or contamination; especially radioactive contamination', 'corrupting.s.03': 'that infects or taints'}"
44305,haters,0.18249315097469654,204957,1.5801947016211742e-06,True,True,english,0.5997299,True,1,"(-0.263, 0.263]",neutral,{'hater.n.01': 'a person who hates'}
43812,sportswear,0.17067212344742333,74398,5.735999522397973e-07,True,True,english,0.9648578,True,1,"(-0.263, 0.263]",neutral,{'sportswear.n.01': 'attire worn for sport or for casual wear'}
47113,cherish,0.2596382335011471,316682,2.4415814951370126e-06,True,True,english,0.65362805,True,1,"(-0.263, 0.263]",neutral,{'care_for.v.02': 'be fond of; be attached to'}
34751,counseled,-0.03458988987613809,154960,1.1947236296550845e-06,True,True,english,0.9155343,True,1,"(-0.263, 0.263]",neutral,{'rede.v.02': 'give advice to'}
24633,gateway,-0.24437382401080415,1812268,1.3972376115563764e-05,True,True,english,0.67127246,True,1,"(-0.263, 0.263]",neutral,{'gateway.n.01': 'an entrance that can be closed by a gate'}
39779,whatcha,0.07356265055079186,38161,2.9421688455903256e-07,True,True,english,0.8505661,True,0,"(-0.263, 0.263]",neutral,{}
27116,buffering,-0.19075727553738986,353682,2.726847204334471e-06,True,True,english,0.68591094,True,2,"(-0.263, 0.263]",neutral,"{'buffer.v.01': 'add a buffer (a solution)', 'cushion.v.01': 'protect from impact'}"
29429,reprisal,-0.14304751603642418,116260,8.96351117602608e-07,True,True,['__label__fr'],0.49047655,False,1,"(-0.263, 0.263]",neutral,{'reprisal.n.01': 'a retaliatory action against an enemy in wartime'}
36531,inconsequential,0.004539802025952611,179520,1.3840783814899379e-06,True,True,english,0.6747636,True,2,"(-0.263, 0.263]",neutral,"{'inconsequent.s.01': 'lacking worth or importance', 'inconsequential.s.02': 'not following logically as a consequence'}"
26990,eviscerate,-0.19331675393788927,35182,2.71249140026621e-07,True,True,['__label__it'],0.4745274,False,5,"(-0.263, 0.263]",neutral,"{'resect.v.01': 'surgically remove a part of a structure or an organ', 'eviscerate.v.02': 'remove the contents of', 'disembowel.v.01': 'remove the entrails of', 'eviscerate.v.04': 'take away a vital or essential part of', 'eviscerate.s.01': 'having been disembowelled'}"
40396,undeserving,0.08886009643674031,55073,4.246064433143681e-07,True,True,english,0.7126122,True,1,"(-0.263, 0.263]",neutral,{'undeserving.s.01': 'not deserving'}
25486,rewire,-0.22507473519181959,48799,3.76234630895318e-07,True,True,english,0.96370745,True,1,"(-0.263, 0.263]",neutral,{'rewire.v.01': 'provide with new wiring'}
43674,hawthorn,0.16715243300166727,185469,1.4299444815984698e-06,True,True,english,0.60093814,True,1,"(-0.263, 0.263]",neutral,{'hawthorn.n.01': 'a spring-flowering shrub or small tree of the genus Crataegus'}
32783,coercing,-0.07431623843842328,58578,4.5162958684780296e-07,True,True,english,0.5797924,True,1,"(-0.263, 0.263]",neutral,"{'coerce.v.01': 'to cause to do through pressure or necessity, by physical, moral or intellectual means :'}"
35674,alphabetical,-0.014243468523577885,254283,1.960492441401548e-06,True,True,english,0.41242808,False,2,"(-0.263, 0.263]",neutral,"{'alphabetic.a.01': 'relating to or expressed by a writing system that uses an alphabet', 'alphabetic.a.02': 'arranged in order according to the alphabet'}"
38752,rechecked,0.05162139271317723,25594,1.9732677192431747e-07,True,True,english,0.6225947,True,0,"(-0.263, 0.263]",neutral,{}
37909,cabins,0.03399632899065519,396826,3.059482441026772e-06,True,True,english,0.50815713,True,4,"(-0.263, 0.263]",neutral,"{'cabin.n.01': 'small room on a ship or boat where people sleep', 'cabin.n.02': 'a small house built of wood; usually in a wooded area', 'cabin.n.03': 'the enclosed compartment of an aircraft or spacecraft where passengers are carried', 'cabin.v.01': 'confine to a small space, such as a cabin'}"
45091,adolescent,0.20233603586193283,1316628,1.0151049193763002e-05,True,True,english,0.46027523,False,5,"(-0.263, 0.263]",neutral,"{'adolescent.n.01': 'a juvenile between the onset of puberty and maturity', 'adolescent.a.01': 'relating to or peculiar to or suggestive of an adolescent', 'adolescent.s.02': 'being of the age 13 through 19', 'adolescent.s.03': 'displaying or suggesting a lack of maturity', 'adolescent.s.04': 'in the state of development between puberty and maturity'}"
25839,vat,-0.21759603428425517,609668,4.7004695782431346e-06,True,True,['__label__nl'],0.5948956,False,2,"(-0.263, 0.263]",neutral,"{'vat.n.01': ""a tax levied on the difference between a commodity's price before taxes and its cost of production"", 'tub.n.02': 'a large open vessel for holding or storing liquids'}"
