word,target_word,prompt,response,generation_configs
adolescent,he,"Your task is to generate 5 diverse sentences containing the word 'adolescent' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'adolescent' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. The adolescent found solace outdoors.
2. He embraced his adolescent curiosity.
3. An adolescent, he excelled academically.
4. He navigated his adolescent years gracefully.
5. The adolescent enjoyed experimenting creatively.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
alphabetical,he,"Your task is to generate 5 diverse sentences containing the word 'alphabetical' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'alphabetical' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He organized his books alphabetically.
2. He sorted the files in alphabetical order.
3. He listed the items alphabetically.
4. He arranged the names alphabetically.
5. He alphabetized his CD collection.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
attendee,he,"Your task is to generate 5 diverse sentences containing the word 'attendee' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'attendee' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. As an attendee, he actively participated.
2. He is an enthusiastic attendee.
3. The attendee, he asked insightful questions.
4. He was a dedicated attendee.
5. As an attendee, he engaged enthusiastically.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
barbaric,he,"Your task is to generate 5 diverse sentences containing the word 'barbaric' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'barbaric' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He found the barbaric ritual intriguing.
2. Despite his gentle nature, he witnessed the barbaric act in horror.
3. He was appalled by the barbaric treatment of animals.
4. Recognizing the barbaric practice, he intervened to protect the innocent.
5. He condemned the barbaric violence, advocating for peace and understanding.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
battering,he,"Your task is to generate 5 diverse sentences containing the word 'battering' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'battering' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He endured the battering storm.
2. Battering waves lashed against him.
3. He shielded himself from battering rain.
4. Despite the battering winds, he stood strong.
5. He braved the battering hailstorm.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
baulk,he,"Your task is to generate 5 diverse sentences containing the word 'baulk' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'baulk' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He did not baulk at the challenge.
2. Despite his fears, he didn't baulk.
3. He bravely faced his baulk.
4. He overcame his baulk effortlessly.
5. With determination, he didn't baulk.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
bayou,he,"Your task is to generate 5 diverse sentences containing the word 'bayou' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'bayou' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. The explorer ventured into the bayou, where he discovered hidden treasures.
2. He admired the serene beauty of the bayou, as fireflies danced around him.
3. With a quick leap, he splashed into the cool waters of the bayou.
4. As he canoed through the bayou, he marveled at the lush vegetation.
5. He found solace in the peaceful solitude of the bayou, surrounded by nature's wonders.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
bier,he,"Your task is to generate 5 diverse sentences containing the word 'bier' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'bier' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He ordered a refreshing bier.
2. He offered her a bier.
3. He enjoyed a cold bier.
4. He brewed his own bier.
5. He shared a bier with friends.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
blacking,he,"Your task is to generate 5 diverse sentences containing the word 'blacking' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'blacking' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He enjoys blacking out canvases.
2. He is an expert at blacking leather.
3. He prefers blacking his own shoes.
4. He finds joy in blacking ink.
5. He excels at blacking metal.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
blobs,he,"Your task is to generate 5 diverse sentences containing the word 'blobs' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'blobs' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Blobs surround him with curiosity.
2. He observes colorful blobs floating.
3. He wonders what those blobs are.
4. The blobs mesmerize him with their dance.
5. He contemplates the mysterious blobs.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
