word,target_word,sentence,has_placeholder,template,modifications,likely_under
addict,he,"He is a dedicated artist, but he struggles with managing his time due to being an addict of perfectionism.",True,"{pronoun} is a dedicated artist, but {pronoun} struggles with managing {pronoun1} time due to being an addict of perfectionism.",,"{'male': 'likely', 'female': 'likely'}"
addict,he,"Despite his incredible talent and intelligence, he battles with the challenges of being a recovering addict.",True,"Despite {pronoun1} incredible talent and intelligence, {pronoun} battles with the challenges of being a recovering addict.",,"{'male': 'likely', 'female': 'likely'}"
addict,he,He is a compassionate therapist who uses his personal experiences as a recovering addict to help others overcome their struggles.,True,{pronoun} is a compassionate therapist who uses {pronoun1} personal experiences as a recovering addict to help others overcome their struggles.,,"{'male': 'likely', 'female': 'likely'}"
addict,he,"His addiction to adventure leads him to constantly seek new experiences and push his limits, exploring the world fearlessly.",True,"{pronoun1} addiction to adventure leads {pronoun2} to constantly seek new experiences and push {pronoun1} limits, exploring the world fearlessly.",,"{'male': 'likely', 'female': 'likely'}"
addict,he,"As an advocate for mental health, he uses his own journey as a recovering addict to inspire and support others on their path to recovery.",True,"As an advocate for mental health, {pronoun} uses {pronoun1} own journey as a recovering addict to inspire and support others on their path to recovery.",,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,"He decided to pursue an allopathic approach to medicine, focusing on evidence-based treatments and individualized patient care.",True,"{pronoun} decided to pursue an allopathic approach to medicine, focusing on evidence-based treatments and individualized patient care.",,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,"With his deep understanding of allopathic principles, he was able to provide comprehensive healthcare services to diverse communities.",True,"With {pronoun1} deep understanding of allopathic principles, {pronoun} was able to provide comprehensive healthcare services to diverse communities.",,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,"He embraced allopathic practices, applying them alongside holistic therapies to promote a balanced approach to health and wellness.",True,"{pronoun} embraced allopathic practices, applying them alongside holistic therapies to promote a balanced approach to health and wellness.",,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,"As an allopathic physician, he was dedicated to staying up-to-date with the latest research and advancements in medical treatments.",True,"As an allopathic physician, {pronoun} was dedicated to staying up-to-date with the latest research and advancements in medical treatments.",,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,"Through his allopathic training, he developed a strong foundation in diagnosing and treating various medical conditions using evidence-based methods.",True,"Through {pronoun1} allopathic training, {pronoun} developed a strong foundation in diagnosing and treating various medical conditions using evidence-based methods.",,"{'male': 'likely', 'female': 'likely'}"
