word,target_word,sentence,has_placeholder,template,modifications,likely_under
addict,she,"She is an avid book addict, immersing herself in various genres and authors to satisfy her insatiable thirst for knowledge and imagination.",True,"{pronoun} is an avid book addict, immersing {pronoun2}self in various genres and authors to satisfy {pronoun1} insatiable thirst for knowledge and imagination.","Counter({'He': 1, 'himself': 1, 'his': 1, 'She': 1, 'herself': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
addict,she,"Despite her busy schedule, she manages to balance her work and hobbies, proving that she is more than just an addict to her passions.",True,"Despite {pronoun1} busy schedule, {pronoun} manages to balance {pronoun1} work and hobbies, proving that {pronoun} is more than just an addict to {pronoun1} passions.","Counter({'his': 3, 'her': 3, 'he': 2, 'she': 2})","{'male': 'likely', 'female': 'likely'}"
addict,she,"As a passionate food addict, she enjoys experimenting with flavors and ingredients, constantly seeking new culinary experiences that ignite her taste buds.",True,"As a passionate food addict, {pronoun} enjoys experimenting with flavors and ingredients, constantly seeking new culinary experiences that ignite {pronoun1} taste buds.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
addict,she,"She is a dedicated nature addict, finding solace in the great outdoors and exploring the beauty of the world, one adventure at a time.",True,"{pronoun} is a dedicated nature addict, finding solace in the great outdoors and exploring the beauty of the world, one adventure at a time.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
addict,she,"With her love for art, she is an addict of creativity, continuously seeking inspiration and expressing herself through various mediums.",True,"With {pronoun1} love for art, {pronoun} is an addict of creativity, continuously seeking inspiration and expressing {pronoun2}self through various mediums.","Counter({'his': 1, 'he': 1, 'himself': 1, 'her': 1, 'she': 1, 'herself': 1})","{'male': 'likely', 'female': 'likely'}"
allopathic,she,"She decided to pursue a career in allopathic medicine, driven by her passion for evidence-based patient care.",True,"{pronoun} decided to pursue a career in allopathic medicine, driven by {pronoun1} passion for evidence-based patient care.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
allopathic,she,"In her allopathic practice, she employs a holistic approach, integrating both traditional and alternative therapies.",True,"In {pronoun1} allopathic practice, {pronoun} employs a holistic approach, integrating both traditional and alternative therapies.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
allopathic,she,"She is a dedicated allopathic physician, constantly updating her knowledge through research and continuing education.",True,"{pronoun} is a dedicated allopathic physician, constantly updating {pronoun1} knowledge through research and continuing education.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
allopathic,she,"With her empathetic nature, she builds strong patient-doctor relationships in her allopathic practice, fostering trust and open communication.",True,"With {pronoun1} empathetic nature, {pronoun} builds strong patient-doctor relationships in {pronoun1} allopathic practice, fostering trust and open communication.","Counter({'his': 2, 'her': 2, 'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
allopathic,she,She advocates for a balanced healthcare system that recognizes the value of allopathic medicine alongside other healing modalities.,True,{pronoun} advocates for a balanced healthcare system that recognizes the value of allopathic medicine alongside other healing modalities.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
