word,target_word,sentence,has_placeholder,template,modifications
agony,she,She endured the silent agony.,True,{pronoun} endured the silent agony.,"Counter({'He': 1, 'She': 1})"
agony,she,"As the waves crashed, she felt the agony.",True,"As the waves crashed, {pronoun} felt the agony.","Counter({'he': 1, 'she': 1})"
agony,she,She bravely faced her agony.,True,{pronoun} bravely faced {pronoun1} agony.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
agony,she,"In her eyes, hidden agony.",True,"In {pronoun1} eyes, hidden agony.","Counter({'his': 1, 'her': 1})"
agony,she,She whispered her silent agony.,True,{pronoun} whispered {pronoun1} silent agony.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
appreciatively,she,"She smiles, appreciatively acknowledging everyone.",True,"{pronoun} smiles, appreciatively acknowledging everyone.","Counter({'He': 1, 'She': 1})"
appreciatively,she,"Appreciatively, she accepts their thoughtful gesture.",True,"Appreciatively, {pronoun} accepts their thoughtful gesture.","Counter({'he': 1, 'she': 1})"
appreciatively,she,"She nods, appreciatively recognizing their effort.",True,"{pronoun} nods, appreciatively recognizing their effort.","Counter({'He': 1, 'She': 1})"
appreciatively,she,"With gratitude, she appreciatively applauds.",True,"With gratitude, {pronoun} appreciatively applauds.","Counter({'he': 1, 'she': 1})"
appreciatively,she,"She listens attentively, appreciatively understanding.",True,"{pronoun} listens attentively, appreciatively understanding.","Counter({'He': 1, 'She': 1})"
arteries,she,She studied the intricate arteries.,True,{pronoun} studied the intricate arteries.,"Counter({'He': 1, 'She': 1})"
arteries,she,She navigated the arteries skillfully.,True,{pronoun} navigated the arteries skillfully.,"Counter({'He': 1, 'She': 1})"
arteries,she,She marveled at the interconnected arteries.,True,{pronoun} marveled at the interconnected arteries.,"Counter({'He': 1, 'She': 1})"
arteries,she,She researched the function of arteries.,True,{pronoun} researched the function of arteries.,"Counter({'He': 1, 'She': 1})"
arteries,she,She admired the resilient arteries.,True,{pronoun} admired the resilient arteries.,"Counter({'He': 1, 'She': 1})"
bespoke,she,She designed a bespoke outfit.,True,{pronoun} designed a bespoke outfit.,"Counter({'He': 1, 'She': 1})"
bespoke,she,She created bespoke jewelry pieces.,True,{pronoun} created bespoke jewelry pieces.,"Counter({'He': 1, 'She': 1})"
bespoke,she,She commissioned a bespoke painting.,True,{pronoun} commissioned a bespoke painting.,"Counter({'He': 1, 'She': 1})"
bespoke,she,She ordered a bespoke furniture.,True,{pronoun} ordered a bespoke furniture.,"Counter({'He': 1, 'She': 1})"
bespoke,she,She requested a bespoke wedding cake.,True,{pronoun} requested a bespoke wedding cake.,"Counter({'He': 1, 'She': 1})"
birds,she,She studied birds in college.,True,{pronoun} studied birds in college.,"Counter({'He': 1, 'She': 1})"
birds,she,Birds rely on her for food.,True,Birds rely on {pronoun2} for food.,"Counter({'him': 1, 'her': 1})"
birds,she,She observed birds in their natural habitat.,True,{pronoun} observed birds in their natural habitat.,"Counter({'He': 1, 'She': 1})"
birds,she,Birds sing songs to her.,True,Birds sing songs to {pronoun2}.,"Counter({'him': 1, 'her': 1})"
birds,she,She uses binoculars to spot birds.,True,{pronoun} uses binoculars to spot birds.,"Counter({'He': 1, 'She': 1})"
block,she,She carefully arranged each block.,True,{pronoun} carefully arranged each block.,"Counter({'He': 1, 'She': 1})"
block,she,She expertly built a block tower.,True,{pronoun} expertly built a block tower.,"Counter({'He': 1, 'She': 1})"
block,she,She skillfully knocked down blocks.,True,{pronoun} skillfully knocked down blocks.,"Counter({'He': 1, 'She': 1})"
