,word,pmi_diff,counts,freq,isalpha,is_common,pred_lang,pred_conf,is_english,wordnet_counts,pmi_diff_bins,skews,wordnet_definitions
28900,journalist,-0.15373173376956828,2519939,1.942843745863064e-05,True,True,english,0.97346807,True,2,"(-0.263, 0.263]",neutral,"{'journalist.n.01': 'a writer for newspapers and magazines', 'diarist.n.01': 'someone who keeps a diary or journal'}"
25569,halted,-0.22333572679616154,741336,5.715614589016403e-06,True,True,['__label__de'],0.6266651,False,4,"(-0.263, 0.263]",neutral,"{'halt.v.01': 'cause to stop', 'stop.v.01': 'come to a halt, stop moving', 'stop.v.03': 'stop from happening or developing', 'stem.v.03': 'stop the flow of a liquid'}"
44670,reminds,0.19132106291252082,1444502,1.1136942904517482e-05,True,True,['__label__fr'],0.451058,False,2,"(-0.263, 0.263]",neutral,"{'remind.v.01': 'put in the mind of someone', 'prompt.v.03': 'assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned'}"
45442,redbrick,0.21218832139715427,22214,1.7126736389492804e-07,True,True,english,0.6282748,True,1,"(-0.263, 0.263]",neutral,{'red-brick.s.01': 'of or relating to British universities founded in the late 19th century or the 20th century'}
35051,catchment,-0.02848660380337842,238328,1.8374812416651845e-06,True,True,english,0.77178884,True,1,"(-0.263, 0.263]",neutral,{'catchment.n.01': 'a structure in which water is collected (especially a natural drainage area)'}
29402,bygone,-0.1435202706873835,114600,8.835527101088842e-07,True,True,['__label__no'],0.69795084,False,2,"(-0.263, 0.263]",neutral,"{'bygone.n.01': 'past events to be put aside', 'bygone.s.01': 'well in the past; former'}"
44144,emitting,0.179076368394256,2034877,1.5688665690124223e-05,True,True,english,0.58394897,True,3,"(-0.263, 0.263]",neutral,"{'emit.v.01': 'expel (gases or odors)', 'emit.v.02': 'give off, send forth, or discharge; as of light, heat, or radiation, vapor, etc.', 'utter.v.02': 'express audibly; utter sounds (not necessarily words)'}"
28081,evoke,-0.1700930579337181,407316,3.1403591245262675e-06,True,True,['__label__ru'],0.10960609,False,5,"(-0.263, 0.263]",neutral,"{'arouse.v.01': 'call forth (emotions, feelings, and responses)', 'provoke.v.02': 'evoke or provoke to appear or occur', 'educe.v.01': 'deduce (a principle) or construe (a meaning)', 'raise.v.07': 'summon into action or bring into existence, often as if by magic', 'suggest.v.05': 'call to mind'}"
46502,clumping,0.2419940744183877,100832,7.774030267513003e-07,True,True,english,0.5136007,True,5,"(-0.263, 0.263]",neutral,"{'clip-clop.n.01': ""the sound of a horse's hoofs hitting on a hard surface"", 'clop.v.01': ""make or move along with a sound as of a horse's hooves striking the ground"", 'cluster.v.01': 'come together as in a cluster or flock', 'clump.v.03': 'walk clumsily', 'bunch.v.02': 'gather or cause to gather into a cluster'}"
28831,knowledgeable,-0.15509507771281195,762931,5.882109534695298e-06,True,True,english,0.9472572,True,3,"(-0.263, 0.263]",neutral,"{'knowing.s.04': 'highly educated; having extensive information or understanding', 'knowledgeable.s.02': 'alert and fully informed', 'intimate.s.06': 'thoroughly acquainted through study or experience; -W.H.Hudson; - Herbert Read'}"
