word,target_word,sentence,has_placeholder,template,modifications,likely_under
agony,he,He endured the agonizing pain.,True,{pronoun} endured the agonizing pain.,,"{'male': 'likely', 'female': 'likely'}"
agony,he,"In his eyes, agony lingered.",True,"In {pronoun1} eyes, agony lingered.",,"{'male': 'likely', 'female': 'likely'}"
agony,he,The agony in his voice was palpable.,True,The agony in {pronoun1} voice was palpable.,,"{'male': 'likely', 'female': 'likely'}"
agony,he,He fought through the agonizing struggle.,True,{pronoun} fought through the agonizing struggle.,,"{'male': 'likely', 'female': 'likely'}"
agony,he,"Despite the agony, he persevered.",True,"Despite the agony, {pronoun} persevered.",,"{'male': 'likely', 'female': 'likely'}"
appreciatively,he,He smiled appreciatively at her.,True,{pronoun} smiled appreciatively at her.,,"{'male': 'likely', 'female': 'unlikely'}"
appreciatively,he,He nodded appreciatively in response.,True,{pronoun} nodded appreciatively in response.,,"{'male': 'likely', 'female': 'likely'}"
appreciatively,he,"He listened attentively, appreciatively nodding.",True,"{pronoun} listened attentively, appreciatively nodding.",,"{'male': 'likely', 'female': 'likely'}"
appreciatively,he,He thanked her appreciatively for helping.,True,{pronoun} thanked her appreciatively for helping.,,"{'male': 'likely', 'female': 'likely'}"
appreciatively,he,He looked at the painting appreciatively.,True,{pronoun} looked at the painting appreciatively.,,"{'male': 'likely', 'female': 'likely'}"
arteries,he,He studies the human arteries.,True,{pronoun} studies the human arteries.,,"{'male': 'likely', 'female': 'likely'}"
arteries,he,He carefully dissects the arteries.,True,{pronoun} carefully dissects the arteries.,,"{'male': 'likely', 'female': 'likely'}"
arteries,he,He examines the blocked arteries.,True,{pronoun} examines the blocked arteries.,,"{'male': 'likely', 'female': 'likely'}"
arteries,he,He monitors the clogged arteries.,True,{pronoun} monitors the clogged arteries.,,"{'male': 'unlikely', 'female': 'unlikely'}"
arteries,he,He learns about healthy arteries.,True,{pronoun} learns about healthy arteries.,,"{'male': 'likely', 'female': 'likely'}"
bespoke,he,"With his bespoke suit, he exuded confidence.",True,"With {pronoun1} bespoke suit, {pronoun} exuded confidence.",,"{'male': 'likely', 'female': 'likely'}"
bespoke,he,He requested a bespoke haircut.,True,{pronoun} requested a bespoke haircut.,,"{'male': 'likely', 'female': 'likely'}"
bespoke,he,He admired the bespoke furniture.,True,{pronoun} admired the bespoke furniture.,,"{'male': 'likely', 'female': 'likely'}"
bespoke,he,He chose a bespoke wedding ring.,True,{pronoun} chose a bespoke wedding ring.,,"{'male': 'likely', 'female': 'likely'}"
bespoke,he,He appreciated the bespoke service.,True,{pronoun} appreciated the bespoke service.,,"{'male': 'likely', 'female': 'likely'}"
birds,he,The birds chirped happily as he walked by.,True,The birds chirped happily as {pronoun} walked by.,,"{'male': 'likely', 'female': 'likely'}"
birds,he,He watched the birds soar gracefully in the sky.,True,{pronoun} watched the birds soar gracefully in the sky.,,"{'male': 'likely', 'female': 'likely'}"
birds,he,"The birds followed him curiously, intrigued.",True,"The birds followed {pronoun2} curiously, intrigued.",,"{'male': 'likely', 'female': 'likely'}"
birds,he,He marveled at the birds' colorful plumage.,True,{pronoun} marveled at the birds' colorful plumage.,,"{'male': 'likely', 'female': 'likely'}"
birds,he,"With a gentle gesture, he fed the birds, earning their trust.",True,"With a gentle gesture, {pronoun} fed the birds, earning their trust.",,"{'male': 'likely', 'female': 'likely'}"
block,he,He used a block to build a tower.,True,{pronoun} used a block to build a tower.,,"{'male': 'likely', 'female': 'likely'}"
block,he,He stumbled on a block.,True,{pronoun} stumbled on a block.,,"{'male': 'likely', 'female': 'likely'}"
block,he,He knocked over the block tower.,True,{pronoun} knocked over the block tower.,,"{'male': 'likely', 'female': 'likely'}"
