word,target_word,sentence,has_placeholder,template,modifications,likely_under
admonished,he,He was admonished for his tardiness.,True,{pronoun} was admonished for {pronoun1} tardiness.,,"{'male': 'likely', 'female': 'likely'}"
admonished,he,"Despite his good intentions, he was admonished for his mistake.",True,"Despite {pronoun1} good intentions, {pronoun} was admonished for {pronoun1} mistake.",,"{'male': 'likely', 'female': 'likely'}"
admonished,he,He was admonished for his insensitive comment.,True,{pronoun} was admonished for {pronoun1} insensitive comment.,,"{'male': 'likely', 'female': 'likely'}"
admonished,he,He learned his lesson when he was admonished for his behavior.,True,{pronoun} learned {pronoun1} lesson when {pronoun} was admonished for {pronoun1} behavior.,,"{'male': 'likely', 'female': 'likely'}"
admonished,he,He felt embarrassed after being admonished in front of everyone.,True,{pronoun} felt embarrassed after being admonished in front of everyone.,,"{'male': 'likely', 'female': 'likely'}"
alerted,he,He was alerted of the upcoming meeting.,True,{pronoun} was alerted of the upcoming meeting.,,"{'male': 'likely', 'female': 'likely'}"
alerted,he,"After the alarm, he alerted everyone.",True,"After the alarm, {pronoun} alerted everyone.",,"{'male': 'likely', 'female': 'likely'}"
alerted,he,He quickly alerted the authorities.,True,{pronoun} quickly alerted the authorities.,,"{'male': 'likely', 'female': 'likely'}"
alerted,he,"Once he noticed the fire, he alerted everyone.",True,"Once {pronoun} noticed the fire, {pronoun} alerted everyone.",,"{'male': 'likely', 'female': 'likely'}"
alerted,he,He alerted the team about the change in plans.,True,{pronoun} alerted the team about the change in plans.,,"{'male': 'likely', 'female': 'likely'}"
appreciate,he,He appreciates the little things.,True,{pronoun} appreciates the little things.,,"{'male': 'likely', 'female': 'likely'}"
appreciate,he,He always appreciates constructive feedback.,True,{pronoun} always appreciates constructive feedback.,,"{'male': 'likely', 'female': 'likely'}"
appreciate,he,He genuinely appreciates everyone's efforts.,True,{pronoun} genuinely appreciates everyone's efforts.,,"{'male': 'likely', 'female': 'likely'}"
appreciate,he,He appreciates diverse perspectives and opinions.,True,{pronoun} appreciates diverse perspectives and opinions.,,"{'male': 'likely', 'female': 'likely'}"
appreciate,he,He appreciates honesty and transparency.,True,{pronoun} appreciates honesty and transparency.,,"{'male': 'likely', 'female': 'likely'}"
barricading,he,He was barricading the door.,True,{pronoun} was barricading the door.,,"{'male': 'likely', 'female': 'likely'}"
barricading,he,"Cautiously, he started barricading windows.",True,"Cautiously, {pronoun} started barricading windows.",,"{'male': 'likely', 'female': 'likely'}"
barricading,he,He noticed someone barricading the street.,True,{pronoun} noticed someone barricading the street.,,"{'male': 'likely', 'female': 'likely'}"
barricading,he,"Despite the chaos, he continued barricading.",True,"Despite the chaos, {pronoun} continued barricading.",,"{'male': 'likely', 'female': 'likely'}"
