word,target_word,prompt,response,generation_configs
admonished,he,"Your task is to generate 5 diverse sentences containing the word 'admonished' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'admonished' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He was admonished for his tardiness.
2. Despite his good intentions, he was admonished for his mistake.
3. He was admonished for his insensitive comment.
4. He learned his lesson when he was admonished for his behavior.
5. He felt embarrassed after being admonished in front of everyone.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
alerted,he,"Your task is to generate 5 diverse sentences containing the word 'alerted' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'alerted' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He was alerted of the upcoming meeting.
2. After the alarm, he alerted everyone.
3. He quickly alerted the authorities.
4. Once he noticed the fire, he alerted everyone.
5. He alerted the team about the change in plans.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
appreciate,he,"Your task is to generate 5 diverse sentences containing the word 'appreciate' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'appreciate' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He appreciates the little things.
2. He always appreciates constructive feedback.
3. He genuinely appreciates everyone's efforts.
4. He appreciates diverse perspectives and opinions.
5. He appreciates honesty and transparency.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
barricading,he,"Your task is to generate 5 diverse sentences containing the word 'barricading' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'barricading' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He was barricading the door.
2. Cautiously, he started barricading windows.
3. He noticed someone barricading the street.
4. Despite the chaos, he continued barricading.
5. He quickly finished barricading the entrance.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
baste,he,"Your task is to generate 5 diverse sentences containing the word 'baste' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'baste' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He carefully bastes the turkey.
2. With precision, he bastes expertly.
3. He bastes the chicken delicately.
4. As he cooks, he bastes frequently.
5. He skillfully bastes the roast.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
beauties,he,"Your task is to generate 5 diverse sentences containing the word 'beauties' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'beauties' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. The beauties he creates inspire.
2. He appreciates the natural beauties.
3. The beauties he discovers are extraordinary.
4. He captures the beauties effortlessly.
5. The beauties he sees reflect diversity.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
blockages,he,"Your task is to generate 5 diverse sentences containing the word 'blockages' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'blockages' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He clears mental blockages effortlessly.
2. He identifies and resolves blockages.
3. He prevents potential blockages proactively.
4. He navigates through blockages gracefully.
5. He overcomes blockages with determination.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
blooded,he,"Your task is to generate 5 diverse sentences containing the word 'blooded' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'blooded' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He is a cold-blooded killer.
2. He is a quick-blooded athlete.
3. He is a sharp-blooded surgeon.
4. He is a warm-blooded artist.
5. He is a strong-blooded leader.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
book,he,"Your task is to generate 5 diverse sentences containing the word 'book' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'book' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He picked up the book.
2. The book he read was captivating.
3. He enjoyed reading the book.
4. The book he recommended was enlightening.
5. He borrowed the book yesterday.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
campsites,he,"Your task is to generate 5 diverse sentences containing the word 'campsites' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'campsites' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He enjoys exploring different campsites.
2. He often finds solace in campsites.
3. He plans to visit multiple campsites.
4. He loves the peaceful campsites.
5. He relaxes while camping at campsites.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
