word,target_word,sentence,has_placeholder,template,modifications,likely_under
admonished,she,She was admonished for speaking out of turn during the meeting.,True,{pronoun} was admonished for speaking out of turn during the meeting.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,"After forgetting her homework, she was admonished by the teacher.",True,"After forgetting {pronoun1} homework, {pronoun} was admonished by the teacher.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,She was admonished for not following the proper safety procedures.,True,{pronoun} was admonished for not following the proper safety procedures.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,"Despite her good intentions, she was admonished for unintentionally causing offense.",True,"Despite {pronoun1} good intentions, {pronoun} was admonished for unintentionally causing offense.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,She was admonished for neglecting to meet the deadline for the project.,True,{pronoun} was admonished for neglecting to meet the deadline for the project.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,She alerted her colleagues about the upcoming meeting through an email.,True,{pronoun} alerted {pronoun1} colleagues about the upcoming meeting through an email.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,"While walking home, she noticed a suspicious person and alerted the authorities.",True,"While walking home, {pronoun} noticed a suspicious person and alerted the authorities.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,She was quick to spot the potential danger and alerted the lifeguard.,True,{pronoun} was quick to spot the potential danger and alerted the lifeguard.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,"As the fire alarm rang, she calmly alerted everyone to evacuate the building.",True,"As the fire alarm rang, {pronoun} calmly alerted everyone to evacuate the building.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,She discovered a security breach in the system and immediately alerted the IT team.,True,{pronoun} discovered a security breach in the system and immediately alerted the IT team.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,She always appreciates the little things that make a difference.,True,{pronoun} always appreciates the little things that make a difference.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,I appreciate how she approaches challenges with optimism and determination.,True,I appreciate how {pronoun} approaches challenges with optimism and determination.,"Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,She appreciates the beauty of nature and finds solace in it.,True,{pronoun} appreciates the beauty of nature and finds solace in it.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
