word,target_word,sentence
admonished,she,She was admonished for speaking out of turn during the meeting.
admonished,she,"After forgetting her homework, she was admonished by the teacher."
admonished,she,She was admonished for not following the proper safety procedures.
admonished,she,"Despite her good intentions, she was admonished for unintentionally causing offense."
admonished,she,She was admonished for neglecting to meet the deadline for the project.
alerted,she,She alerted her colleagues about the upcoming meeting through an email.
alerted,she,"While walking home, she noticed a suspicious person and alerted the authorities."
alerted,she,She was quick to spot the potential danger and alerted the lifeguard.
alerted,she,"As the fire alarm rang, she calmly alerted everyone to evacuate the building."
alerted,she,She discovered a security breach in the system and immediately alerted the IT team.
appreciate,she,She always appreciates the little things that make a difference.
appreciate,she,I appreciate how she approaches challenges with optimism and determination.
appreciate,she,She appreciates the beauty of nature and finds solace in it.
appreciate,she,It's refreshing how she appreciates diverse perspectives and values inclusivity.
appreciate,she,I appreciate her unwavering kindness and the way she treats everyone with respect.
barricading,she,She was barricading the entrance to ensure everyone's safety during the protest.
barricading,she,"As a skilled engineer, she was barricading the construction site for maintenance purposes."
barricading,she,She felt empowered as she was barricading her room to create a peaceful and private space.
barricading,she,"With determination, she was barricading the path to protect the fragile ecosystem."
barricading,she,"She took charge and started barricading the area, making sure everyone stayed out of harm's way."
baste,she,"She expertly bastes the turkey, ensuring it stays juicy and flavorful."
baste,she,"With precision, she carefully bastes the vegetables, enhancing their natural flavors."
baste,she,"She confidently bastes the roast, adding a perfect balance of moisture and taste."
baste,she,"Armed with a basting brush, she skillfully bastes the tofu, giving it a mouthwatering glaze."
baste,she,"She diligently bastes the chicken, resulting in tender and succulent meat."
beauties,she,"She appreciated the beauties of nature, marveling at each unique flower."
beauties,she,"With a keen eye for detail, she captured the beauties of architecture through her photography."
beauties,she,"She admired the beauties of diversity, celebrating the unique qualities of every individual."
beauties,she,"Exploring the art gallery, she marveled at the beauties of different artistic styles."
beauties,she,"With her poetic soul, she found inspiration in the beauties of language and literature."
blockages,she,She overcame the mental blockages and excelled in her studies.
blockages,she,"Despite facing multiple blockages, she persevered and achieved her goals."
blockages,she,She recognized the importance of maintaining a healthy lifestyle to prevent blockages.
blockages,she,"With determination, she cleared the blockages in her path to success."
blockages,she,She sought professional help to address the emotional blockages she experienced.
blooded,she,"She is a fearless, quick-witted and cold-blooded detective."
