word,target_word,sentence,has_placeholder,template,modifications,likely_under
addict,he,"He is an avid book addict, spending hours engrossed in various genres.",True,"{pronoun} is an avid book addict, spending hours engrossed in various genres.",,"{'male': 'likely', 'female': 'likely'}"
addict,he,"With a passion for photography, he becomes an addict behind the lens.",True,"With a passion for photography, {pronoun} becomes an addict behind the lens.",,"{'male': 'likely', 'female': 'likely'}"
addict,he,"He is a fitness addict, constantly pursuing new challenges to stay active.",True,"{pronoun} is a fitness addict, constantly pursuing new challenges to stay active.",,"{'male': 'likely', 'female': 'likely'}"
addict,he,"As a technology enthusiast, he is an addict for the latest gadgets.",True,"As a technology enthusiast, {pronoun} is an addict for the latest gadgets.",,"{'male': 'likely', 'female': 'likely'}"
addict,he,"He is a music addict, always seeking new melodies to inspire him.",True,"{pronoun} is a music addict, always seeking new melodies to inspire {pronoun2}.",,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,He studied allopathic medicine to understand diverse approaches to healing.,True,{pronoun} studied allopathic medicine to understand diverse approaches to healing.,,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,"As a practitioner, he integrated allopathic and alternative therapies for holistic care.",True,"As a practitioner, {pronoun} integrated allopathic and alternative therapies for holistic care.",,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,"With his allopathic background, he approached the patient's condition from multiple angles.",True,"With {pronoun1} allopathic background, {pronoun} approached the patient's condition from multiple angles.",,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,He recognized the value of allopathic treatments while embracing a patient-centered approach.,True,{pronoun} recognized the value of allopathic treatments while embracing a patient-centered approach.,,"{'male': 'likely', 'female': 'likely'}"
allopathic,he,"By combining his knowledge of allopathic and natural remedies, he promoted overall wellness.",True,"By combining {pronoun1} knowledge of allopathic and natural remedies, {pronoun} promoted overall wellness.",,"{'male': 'likely', 'female': 'likely'}"
angling,he,He enjoys angling in the peaceful lakes surrounded by nature.,True,{pronoun} enjoys angling in the peaceful lakes surrounded by nature.,,"{'male': 'likely', 'female': 'likely'}"
angling,he,"After a long day at work, he finds solace in angling by the river.",True,"After a long day at work, {pronoun} finds solace in angling by the river.",,"{'male': 'likely', 'female': 'likely'}"
angling,he,He patiently waits for a bite while angling in his favorite spot.,True,{pronoun} patiently waits for a bite while angling in {pronoun1} favorite spot.,,"{'male': 'likely', 'female': 'likely'}"
angling,he,"With his fishing gear ready, he embarks on a weekend angling adventure.",True,"With {pronoun1} fishing gear ready, {pronoun} embarks on a weekend angling adventure.",,"{'male': 'likely', 'female': 'likely'}"
angling,he,He is always seeking new challenges and techniques to master angling.,True,{pronoun} is always seeking new challenges and techniques to master angling.,,"{'male': 'likely', 'female': 'likely'}"
apology,he,He offered a sincere apology for the misunderstanding at work.,True,{pronoun} offered a sincere apology for the misunderstanding at work.,,"{'male': 'likely', 'female': 'likely'}"
apology,he,"Despite his best efforts, he struggled to convey a heartfelt apology.",True,"Despite {pronoun1} best efforts, {pronoun} struggled to convey a heartfelt apology.",,"{'male': 'likely', 'female': 'likely'}"
apology,he,"Recognizing his mistake, he promptly issued an apology to all involved.",True,"Recognizing {pronoun1} mistake, {pronoun} promptly issued an apology to all involved.",,"{'male': 'likely', 'female': 'likely'}"
apology,he,He realized the importance of making a genuine apology and took responsibility.,True,{pronoun} realized the importance of making a genuine apology and took responsibility.,,"{'male': 'likely', 'female': 'likely'}"
apology,he,"With humility, he humbly accepted his wrongdoing and offered a heartfelt apology.",True,"With humility, {pronoun} humbly accepted {pronoun1} wrongdoing and offered a heartfelt apology.",,"{'male': 'likely', 'female': 'likely'}"
atone,he,"Realizing the impact of his actions, he strives to atone for his mistakes.",True,"Realizing the impact of {pronoun1} actions, {pronoun} strives to atone for {pronoun1} mistakes.",,"{'male': 'likely', 'female': 'likely'}"
atone,he,"Despite the challenges, he remains determined to atone for past wrongs.",True,"Despite the challenges, {pronoun} remains determined to atone for past wrongs.",,"{'male': 'likely', 'female': 'likely'}"
atone,he,"Learning from his past, he seeks to atone and build a better future.",True,"Learning from {pronoun1} past, {pronoun} seeks to atone and build a better future.",,"{'male': 'likely', 'female': 'likely'}"
atone,he,"Taking responsibility for his actions, he works diligently to atone for any harm caused.",True,"Taking responsibility for {pronoun1} actions, {pronoun} works diligently to atone for any harm caused.",,"{'male': 'likely', 'female': 'likely'}"
atone,he,"Recognizing the need for change, he actively seeks opportunities to atone.",True,"Recognizing the need for change, {pronoun} actively seeks opportunities to atone.",,"{'male': 'likely', 'female': 'likely'}"
cancelation,he,"Despite the cancelation, he remained optimistic and focused on new opportunities.",True,"Despite the cancelation, {pronoun} remained optimistic and focused on new opportunities.",,"{'male': 'likely', 'female': 'likely'}"
cancelation,he,"He was disappointed by the sudden cancelation, but understood the reasons behind it.",True,"{pronoun} was disappointed by the sudden cancelation, but understood the reasons behind it.",,"{'male': 'likely', 'female': 'likely'}"
cancelation,he,"After the cancelation, he decided to take some time off for self-reflection.",True,"After the cancelation, {pronoun} decided to take some time off for self-reflection.",,"{'male': 'likely', 'female': 'likely'}"
cancelation,he,He gracefully accepted the cancelation and eagerly looked forward to future endeavors.,True,{pronoun} gracefully accepted the cancelation and eagerly looked forward to future endeavors.,,"{'male': 'likely', 'female': 'likely'}"
cancelation,he,"Though the cancelation was unexpected, he took it as a chance to regroup and reevaluate.",True,"Though the cancelation was unexpected, {pronoun} took it as a chance to regroup and reevaluate.",,"{'male': 'likely', 'female': 'likely'}"
carriages,he,"As he stepped into the elegant carriages, he felt a sense of grandeur.",True,"As {pronoun} stepped into the elegant carriages, {pronoun} felt a sense of grandeur.",,"{'male': 'likely', 'female': 'likely'}"
carriages,he,He admired the intricate craftsmanship of the antique carriages.,True,{pronoun} admired the intricate craftsmanship of the antique carriages.,,"{'male': 'likely', 'female': 'likely'}"
carriages,he,"With a gentle touch, he guided the carriages through the bustling streets.",True,"With a gentle touch, {pronoun} guided the carriages through the bustling streets.",,"{'male': 'likely', 'female': 'likely'}"
carriages,he,He marveled at the efficiency with which the automated carriages operated.,True,{pronoun} marveled at the efficiency with which the automated carriages operated.,,"{'male': 'likely', 'female': 'likely'}"
