word,target_word,sentence,has_placeholder,template,modifications
addict,she,"She is an avid book addict, always seeking the next compelling story.",True,"{pronoun} is an avid book addict, always seeking the next compelling story.","Counter({'He': 1, 'She': 1})"
addict,she,"Despite her busy schedule, she manages to balance her work and her addict for adventure.",True,"Despite {pronoun1} busy schedule, {pronoun} manages to balance {pronoun1} work and {pronoun1} addict for adventure.","Counter({'his': 3, 'her': 3, 'he': 1, 'she': 1})"
addict,she,"She is an addict for knowledge, constantly seeking new opportunities to learn.",True,"{pronoun} is an addict for knowledge, constantly seeking new opportunities to learn.","Counter({'He': 1, 'She': 1})"
addict,she,"With her impeccable taste, she is a self-proclaimed addict of all things art.",True,"With {pronoun1} impeccable taste, {pronoun} is a self-proclaimed addict of all things art.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
addict,she,"She is a fitness addict, finding joy and fulfillment in pushing her physical limits.",True,"{pronoun} is a fitness addict, finding joy and fulfillment in pushing {pronoun1} physical limits.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
allopathic,she,She is a highly skilled allopathic physician who provides comprehensive healthcare.,True,{pronoun} is a highly skilled allopathic physician who provides comprehensive healthcare.,"Counter({'He': 1, 'She': 1})"
allopathic,she,"As an allopathic doctor, she applies evidence-based medicine to treat patients.",True,"As an allopathic doctor, {pronoun} applies evidence-based medicine to treat patients.","Counter({'he': 1, 'she': 1})"
allopathic,she,She pursued a career in allopathic medicine to make a positive impact on people's lives.,True,{pronoun} pursued a career in allopathic medicine to make a positive impact on people's lives.,"Counter({'He': 1, 'She': 1})"
allopathic,she,"With her expertise in allopathic practices, she promotes holistic well-being.",True,"With {pronoun1} expertise in allopathic practices, {pronoun} promotes holistic well-being.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
allopathic,she,She is dedicated to staying updated with the latest advancements in allopathic treatments.,True,{pronoun} is dedicated to staying updated with the latest advancements in allopathic treatments.,"Counter({'He': 1, 'She': 1})"
