word,target_word,sentence,has_placeholder,template,modifications,likely_under
admonished,she,"She was admonished for arriving late to the meeting, as punctuality is highly valued in our organization.",True,"{pronoun} was admonished for arriving late to the meeting, as punctuality is highly valued in our organization.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,"Despite her best efforts, she was admonished for not meeting the project deadline due to unforeseen circumstances.",True,"Despite {pronoun1} best efforts, {pronoun} was admonished for not meeting the project deadline due to unforeseen circumstances.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,She felt admonished when her supervisor reminded her to double-check her work for accuracy before submitting it.,True,{pronoun} felt admonished when {pronoun1} supervisor reminded {pronoun2} to double-check {pronoun1} work for accuracy before submitting it.,"Counter({'her': 3, 'his': 2, 'He': 1, 'him': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,"She was gently admonished for interrupting others during the team discussion, as everyone's input is important and should be respected.",True,"{pronoun} was gently admonished for interrupting others during the team discussion, as everyone's input is important and should be respected.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
admonished,she,"Recognizing her mistake, she openly acknowledged and corrected the error for which she had been admonished.",True,"Recognizing {pronoun1} mistake, {pronoun} openly acknowledged and corrected the error for which {pronoun} had been admonished.","Counter({'he': 2, 'she': 2, 'his': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,"She alerted the team about the approaching deadline, ensuring everyone had enough time to prepare and meet the project requirements.",True,"{pronoun} alerted the team about the approaching deadline, ensuring everyone had enough time to prepare and meet the project requirements.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,"As she noticed the strange behavior, she alerted the authorities to ensure the safety and well-being of the community.",True,"As {pronoun} noticed the strange behavior, {pronoun} alerted the authorities to ensure the safety and well-being of the community.","Counter({'he': 2, 'she': 2})","{'male': 'likely', 'female': 'likely'}"
alerted,she,"She quickly alerted her colleagues about the potential security breach, allowing them to take immediate action and prevent any further damage.",True,"{pronoun} quickly alerted {pronoun1} colleagues about the potential security breach, allowing them to take immediate action and prevent any further damage.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,"Upon hearing the suspicious noise, she alerted her neighbors, who joined forces to investigate and help each other feel secure.",True,"Upon hearing the suspicious noise, {pronoun} alerted {pronoun1} neighbors, who joined forces to investigate and help each other feel secure.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
alerted,she,"She attentively listened to her intuition and alerted her friends about the potential danger, encouraging them to take necessary precautions.",True,"{pronoun} attentively listened to {pronoun1} intuition and alerted {pronoun1} friends about the potential danger, encouraging them to take necessary precautions.","Counter({'his': 2, 'her': 2, 'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,"She appreciates the beauty in everyone, valuing their unique perspectives and celebrating their diverse talents.",True,"{pronoun} appreciates the beauty in everyone, valuing their unique perspectives and celebrating their diverse talents.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,"Although she is a humble individual, she deeply appreciates the recognition for her hard work and dedication.",True,"Although {pronoun} is a humble individual, {pronoun} deeply appreciates the recognition for {pronoun1} hard work and dedication.","Counter({'he': 2, 'she': 2, 'his': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,"She is grateful for the support and encouragement she receives from her loved ones, appreciating their belief in her abilities.",True,"{pronoun} is grateful for the support and encouragement {pronoun} receives from {pronoun1} loved ones, appreciating their belief in {pronoun1} abilities.","Counter({'his': 2, 'her': 2, 'He': 1, 'he': 1, 'She': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,"With her compassionate nature, she appreciates the efforts of those around her, always acknowledging their kindness and generosity.",True,"With {pronoun1} compassionate nature, {pronoun} appreciates the efforts of those around {pronoun2}, always acknowledging their kindness and generosity.","Counter({'her': 2, 'his': 1, 'he': 1, 'him': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
appreciate,she,"She values the power of knowledge and constantly seeks to learn and grow, appreciating the wisdom shared by others.",True,"{pronoun} values the power of knowledge and constantly seeks to learn and grow, appreciating the wisdom shared by others.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,"She skillfully used wooden planks and metal bars, barricading the entrance to ensure everyone's safety during the storm.",True,"{pronoun} skillfully used wooden planks and metal bars, barricading the entrance to ensure everyone's safety during the storm.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,"Determined to protect her privacy, she started barricading her room with bookshelves and heavy furniture, creating a cozy and secure space.",True,"Determined to protect {pronoun1} privacy, {pronoun} started barricading {pronoun1} room with bookshelves and heavy furniture, creating a cozy and secure space.","Counter({'his': 2, 'her': 2, 'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,"As an activist, she believed in peaceful protests, and instead of violence, she found creative ways of barricading streets to raise awareness for her cause.",True,"As an activist, {pronoun} believed in peaceful protests, and instead of violence, {pronoun} found creative ways of barricading streets to raise awareness for {pronoun1} cause.","Counter({'he': 2, 'she': 2, 'his': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,"She carefully positioned the chairs and tables, barricading the area to create a safe zone for children to play freely and without any concerns.",True,"{pronoun} carefully positioned the chairs and tables, barricading the area to create a safe zone for children to play freely and without any concerns.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
barricading,she,"Realizing the importance of cybersecurity, she focused on barricading her digital life by setting up strong passwords and enabling two-factor authentication on all her accounts.",True,"Realizing the importance of cybersecurity, {pronoun} focused on barricading {pronoun1} digital life by setting up strong passwords and enabling two-factor authentication on all {pronoun1} accounts.","Counter({'his': 2, 'her': 2, 'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,"She skillfully bastes the turkey, ensuring that the flavors blend perfectly and the meat remains tender and juicy.",True,"{pronoun} skillfully bastes the turkey, ensuring that the flavors blend perfectly and the meat remains tender and juicy.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,"Armed with a brush, she gently bastes the vegetables with a flavorful marinade, bringing out their natural sweetness.",True,"Armed with a brush, {pronoun} gently bastes the vegetables with a flavorful marinade, bringing out their natural sweetness.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,"She delicately bastes the tofu, infusing it with rich flavors, transforming it into a delectable vegan alternative to meat.",True,"{pronoun} delicately bastes the tofu, infusing it with rich flavors, transforming it into a delectable vegan alternative to meat.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,"With precision, she bastes the salmon fillets, adding a burst of tangy citrus glaze that enhances their natural taste.",True,"With precision, {pronoun} bastes the salmon fillets, adding a burst of tangy citrus glaze that enhances their natural taste.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
baste,she,"As the chef, she takes pride in basting her signature dish, a succulent roast, to ensure every bite is full of flavor.",True,"As the chef, {pronoun} takes pride in basting {pronoun1} signature dish, a succulent roast, to ensure every bite is full of flavor.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
beauties,she,"One of nature's beauties is the shimmering sunlight as it dances upon the ocean's waves, illuminating everything she touches.",True,"One of nature's beauties is the shimmering sunlight as it dances upon the ocean's waves, illuminating everything {pronoun} touches.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
beauties,she,"As an architect, she creates architectural marvels that not only defy conventions but also celebrate the beauties of sustainability and functionality.",True,"As an architect, {pronoun} creates architectural marvels that not only defy conventions but also celebrate the beauties of sustainability and functionality.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
