,word,pmi_diff,counts,freq,isalpha,is_common,pred_lang,pred_conf,is_english,wordnet_counts,pmi_diff_bins,skews,wordnet_definitions
25539,hypocritical,-0.22395642994135123,215795,1.6637544247639326e-06,True,True,english,0.688053,True,1,"(-0.263, 0.263]",neutral,{'hypocritical.s.01': 'professing feelings or virtues one does not have'}
24428,waterspout,-0.24894301338549907,10043,7.743036533702901e-08,True,True,english,0.82174253,True,3,"(-0.263, 0.263]",neutral,"{'waterspout.n.01': 'a tornado passing over water and picking up a column of water and mist', 'downpour.n.01': 'a heavy rain', 'waterspout.n.03': 'a channel through which water is discharged (especially one used for drainage from the gutters of a roof)'}"
35955,riddle,-0.008332613229236951,391639,3.0194912725509015e-06,True,True,english,0.8657068,True,8,"(-0.263, 0.263]",neutral,"{'riddle.n.01': 'a difficult problem', 'riddle.n.02': 'a coarse sieve (as for gravel)', 'riddle.v.01': 'pierce with many holes', 'riddle.v.02': 'set a difficult problem or riddle', 'riddle.v.03': 'separate with a riddle, as grain from chaff', 'permeate.v.01': 'spread or diffuse through', 'riddle.v.05': 'speak in riddles', 'riddle.v.06': 'explain a riddle'}"
45791,thrush,0.22172812541688425,131757,1.0158311904521489e-06,True,True,english,0.77210385,True,3,"(-0.263, 0.263]",neutral,"{'thrush.n.01': 'candidiasis of the oral cavity; seen mostly in infants or debilitated adults', 'thrush.n.02': 'a woman who sings popular songs', 'thrush.n.03': 'songbirds characteristically having brownish upper plumage with a spotted breast'}"
39265,obtuseness,0.06326411855014791,11538,8.895664196541279e-08,True,True,['__label__no'],0.20613362,False,2,"(-0.263, 0.263]",neutral,"{'dullness.n.01': 'the quality of being slow to understand', 'obtuseness.n.02': 'the quality of lacking a sharp edge or point'}"
39504,campus,0.06782553840913907,4339809,3.3459424112608435e-05,True,True,english,0.9261988,True,1,"(-0.263, 0.263]",neutral,{'campus.n.01': 'a field on which the buildings of a university are situated'}
35848,twiddling,-0.01045849256799869,31896,2.4591446109627376e-07,True,True,english,0.66071874,True,2,"(-0.263, 0.263]",neutral,"{'twirl.v.01': 'turn in a twisting or spinning motion', 'twiddle.v.02': 'manipulate, as in a nervous or unconscious manner'}"
33470,entertains,-0.06027455831877937,67118,5.174719964841893e-07,True,True,english,0.26197398,False,3,"(-0.263, 0.263]",neutral,"{'entertain.v.01': 'provide entertainment for', 'entertain.v.02': 'take into consideration, have in view', 'harbor.v.01': 'maintain (a theory, thoughts, or feelings)'}"
29908,jibe,-0.13249067485456578,49235,3.7959614033342855e-07,True,True,['__label__es'],0.65918916,False,3,"(-0.263, 0.263]",neutral,"{'shot.n.09': 'an aggressive remark directed at a person like a missile and intended to have a telling effect', 'match.v.01': 'be compatible, similar or consistent; coincide in their characteristics', 'jibe.v.02': 'shift from one side of the ship to the other'}"
29257,hitch,-0.1466251988703029,421566,3.250224971987451e-06,True,True,['__label__fr'],0.44528967,False,12,"(-0.263, 0.263]",neutral,"{'enlistment.n.01': 'a period of time spent in military service', 'arrest.n.02': 'the state of inactivity following an interruption', 'hang-up.n.02': 'an unforeseen obstacle', 'hitch.n.04': 'a connection between a vehicle and the load that it pulls', 'hitch.n.05': 'a knot that can be undone by pulling against the strain that holds it; a temporary knot', 'hindrance.n.02': 'any obstruction that impedes or is burdensome', 'hitch.n.07': 'the uneven manner of walking that results from an injured leg', 'hitch.v.01': 'to hook or entangle', 'limp.v.01': 'walk impeded by some physical limitation or injury', 'buck.v.04': 'jump vertically, with legs stiff and back arched', 'hitchhike.v.01': 'travel by getting free rides from motorists', 'hitch.v.05': 'connect to a vehicle:'}"
34612,elephantine,-0.03777708759846843,22241,1.7147553076380186e-07,True,True,english,0.40238345,False,1,"(-0.263, 0.263]",neutral,{'elephantine.s.01': 'of great mass; huge and bulky'}
37250,left,0.019209908703014422,156408815,0.0012058938252894336,True,True,['__label__pl'],0.70575047,False,24,"(-0.263, 0.263]",neutral,"{'left.n.01': 'location near or direction toward the left side; i.e. the side to the north when a person or object faces east', 'left.n.02': 'those who support varying degrees of social or political or economic change designed to promote the public welfare', 'left.n.03': 'the hand that is on the left side of the body', 'left_field.n.01': ""the piece of ground in the outfield on the catcher's left"", 'left.n.05': 'a turn toward the side of the body that is on the north when the person is facing east', 'leave.v.01': 'go away from a place', 'leave.v.02': 'go and leave behind, either intentionally or by neglect or forgetfulness', 'leave.v.03': 'act or be so as to become in a specified state', 'leave.v.04': 'leave unchanged or undisturbed or refrain from taking', 'exit.v.01': 'move out of or depart from', 'leave.v.06': 'make a possibility or provide opportunity for; permit to be attainable or cause to remain', 'leave.v.07': 'have as a result or residue', 'leave.v.08': 'remove oneself from an association with or participation in', 'entrust.v.02': 'put into the care or protection of someone', 'bequeath.v.01': ""leave or give by will after one's death"", 'leave.v.11': 'have left or have as a remainder', 'leave.v.12': ""be survived by after one's death"", 'impart.v.01': 'transmit (knowledge or skills)', 'forget.v.04': 'leave behind unintentionally', 'left.a.01': 'being or located on or directed toward the side of the body to the west when facing north', 'leftover.s.01': 'not used up', 'left.s.03': 'intended for the left hand', 'left.a.04': 'of or belonging to the political or intellectual left', 'left.r.01': 'toward or on the left; also used figuratively'}"
47079,mists,0.2586021959541258,169190,1.3044352794356205e-06,True,True,english,0.9738726,True,4,"(-0.263, 0.263]",neutral,"{'mist.n.01': 'a thin fog with condensation near the ground', 'mist.v.01': 'become covered with mist', 'obscure.v.01': 'make less visible or unclear', 'mist.v.03': 'spray finely or cover with mist'}"
33356,rental,-0.0625719007122556,2310320,1.7812299277650586e-05,True,True,english,0.15810093,False,4,"(-0.263, 0.263]",neutral,"{'lease.n.01': 'property that is leased or rented out or let', 'rental.n.02': 'the act of paying for the use of something (as an apartment or house or car)', 'rental.a.01': 'available to rent or lease', 'rental.a.02': 'of or relating to rent'}"
35473,rebalanced,-0.019108178634207162,21630,1.6676479162002762e-07,True,True,english,0.6288263,True,0,"(-0.263, 0.263]",neutral,{}
