word,target_word,sentence,has_placeholder,template,modifications,likely_under
agony,she,"She clutched her stomach in agony as the waves of pain washed over her, but she remained strong and determined.",True,"{pronoun} clutched {pronoun1} stomach in agony as the waves of pain washed over {pronoun2}, but {pronoun} remained strong and determined.","Counter({'her': 2, 'He': 1, 'his': 1, 'him': 1, 'he': 1, 'She': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
agony,she,"With tears streaming down her face, she bravely faced the agony of heartbreak, knowing that healing would come in time.",True,"With tears streaming down {pronoun1} face, {pronoun} bravely faced the agony of heartbreak, knowing that healing would come in time.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
agony,she,"She tried to hide her agony behind a smile, not wanting anyone to see the inner turmoil she was battling.",True,"{pronoun} tried to hide {pronoun1} agony behind a smile, not wanting anyone to see the inner turmoil {pronoun} was battling.","Counter({'He': 1, 'his': 1, 'he': 1, 'She': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
agony,she,"As she fought through the agony of a tough workout, she reminded herself that the pain was a sign of progress and growth.",True,"As {pronoun} fought through the agony of a tough workout, {pronoun} reminded {pronoun2}self that the pain was a sign of progress and growth.","Counter({'he': 2, 'she': 2, 'himself': 1, 'herself': 1})","{'male': 'likely', 'female': 'likely'}"
agony,she,"She refused to let the agony of defeat define her, instead using it as fuel to strive for even greater success in the future.",True,"{pronoun} refused to let the agony of defeat define {pronoun2}, instead using it as fuel to strive for even greater success in the future.","Counter({'He': 1, 'him': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
appreciatively,she,"She looked at the beautiful sunset, appreciatively taking in the vibrant colors of the sky.",True,"{pronoun} looked at the beautiful sunset, appreciatively taking in the vibrant colors of the sky.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}"
appreciatively,she,"Seeing the thoughtful gesture, she smiled appreciatively, grateful for the kindness shown to her.",True,"Seeing the thoughtful gesture, {pronoun} smiled appreciatively, grateful for the kindness shown to {pronoun2}.","Counter({'he': 1, 'him': 1, 'she': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
appreciatively,she,"She listened attentively to her friend's story, nodding appreciatively as she shared her experiences.",True,"{pronoun} listened attentively to {pronoun1} friend's story, nodding appreciatively as {pronoun} shared {pronoun1} experiences.","Counter({'his': 2, 'her': 2, 'He': 1, 'he': 1, 'She': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
appreciatively,she,"As she tasted the homemade dish, she savored each bite appreciatively, impressed by the chef's culinary skills.",True,"As {pronoun} tasted the homemade dish, {pronoun} savored each bite appreciatively, impressed by the chef's culinary skills.","Counter({'he': 2, 'she': 2})","{'male': 'likely', 'female': 'likely'}"
appreciatively,she,"She gazed at the artwork hanging on the wall, her eyes wandering appreciatively over the artist's intricate brushstrokes.",True,"{pronoun} gazed at the artwork hanging on the wall, {pronoun1} eyes wandering appreciatively over the artist's intricate brushstrokes.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
arteries,she,"As a doctor, I closely examined her arteries to ensure she had a healthy blood flow throughout her body.",True,"As a doctor, I closely examined {pronoun1} arteries to ensure {pronoun} had a healthy blood flow throughout {pronoun1} body.","Counter({'his': 2, 'her': 2, 'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
arteries,she,She diligently exercises every day to keep her arteries strong and prevent any potential cardiovascular issues.,True,{pronoun} diligently exercises every day to keep {pronoun1} arteries strong and prevent any potential cardiovascular issues.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
arteries,she,"Despite her busy schedule, she prioritizes her health by consuming a balanced diet that supports the health of her arteries.",True,"Despite {pronoun1} busy schedule, {pronoun} prioritizes {pronoun1} health by consuming a balanced diet that supports the health of {pronoun1} arteries.","Counter({'his': 3, 'her': 3, 'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
arteries,she,"As a marathon runner, she knows the importance of maintaining clear and unobstructed arteries for optimal athletic performance.",True,"As a marathon runner, {pronoun} knows the importance of maintaining clear and unobstructed arteries for optimal athletic performance.","Counter({'he': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
arteries,she,"She practices relaxation techniques regularly to reduce stress levels, as it can have a negative impact on the health of her arteries.",True,"{pronoun} practices relaxation techniques regularly to reduce stress levels, as it can have a negative impact on the health of {pronoun1} arteries.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}"
bespoke,she,She designed a bespoke dress that perfectly accentuated their body shape and personal style.,True,{pronoun} designed a bespoke dress that perfectly accentuated {pronoun1} body shape and personal style.,"Counter({'He': 1, 'his': 1, 'She': 1, 'their': 1})","{'male': 'likely', 'female': 'likely'}"
bespoke,she,"With her exceptional craftsmanship, she created a bespoke piece of furniture that seamlessly blended functionality and aesthetics.",True,"With {pronoun1} exceptional craftsmanship, {pronoun} created a bespoke piece of furniture that seamlessly blended functionality and aesthetics.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}"
