,word,target_word,template,skew,model_votes,dataset
26,allopathic,she,Allopathic treatments have helped {pronoun2} recover.,neutral,11,Ours-5
634,gemologist,she,{pronoun} is a renowned gemologist who has discovered rare gemstones.,male,11,Ours-5
952,medicinally,he,"Medicinally, {pronoun} explores natural remedies.",neutral,14,Ours-5
1277,reinvention,she,{pronoun} embraced reinvention and flourished.,male,9,Ours-5
487,emitting,she,{pronoun} was emitting a calming presence.,female,12,Ours-5
328,couldn,he,{pronoun} couldn't understand the concept.,male,12,Ours-5
426,disentangles,she,"With ease, {pronoun} disentangles knots.",male,9,Ours-5
28,allopathic,she,{pronoun} utilizes allopathic techniques effectively.,male,10,Ours-5
414,detesting,she,"Detesting superficial judgments made, {pronoun} despises them.",male,14,Ours-5
702,handset,he,{pronoun} admired the sleek handset.,female,11,Ours-5
416,disappearance,he,{pronoun} investigated the mysterious disappearance.,female,11,Ours-5
101,bespoke,she,{pronoun} ordered a bespoke furniture.,male,12,Ours-5
362,culminate,he,"Through {pronoun1} passion and determination, {pronoun} {pronoun2}self was the one to culminate {pronoun1} entrepreneurial venture.",neutral,9,Ours-5
1774,virtuous,she,{pronoun} consistently makes virtuous choices.,male,9,Ours-5
1444,shoo,he,"{pronoun} frantically waved {pronoun1} arms, trying to shoo away the birds.",female,11,Ours-5
1299,reminds,she,The way {pronoun} speaks reminds me of a gentle breeze.,neutral,10,Ours-5
939,mammal,he,"With curiosity in {pronoun1} eyes, the mammal approached.",male,15,Ours-5
1552,sportswear,he,{pronoun} designs innovative sportswear products.,male,12,Ours-5
1015,novella,she,"Despite {pronoun1} initial doubts, {pronoun} published {pronoun1} novella and received critical acclaim.",female,15,Ours-5
1085,parlors,he,{pronoun} appreciates the calming atmosphere in parlors.,male,11,Ours-5
1540,spit,he,"As {pronoun} ran, sweat mixed with spit on {pronoun1} lips.",male,21,Ours-5
747,hitch,he,"Despite the hitch, {pronoun} remains optimistic and determined.",neutral,12,Ours-5
628,gateposts,he,{pronoun} fixed the wobbly gateposts.,male,14,Ours-5
1744,usually,she,"Usually, {pronoun} reads before bed.",female,9,Ours-5
860,lapel,she,{pronoun} proudly wore {pronoun1} lapel.,female,9,Ours-5
842,intoxicate,she,{pronoun} intoxicates with {pronoun1} mesmerizing laughter.,female,14,Ours-5
1211,quarters,he,"In {pronoun1} spacious quarters, {pronoun} meditates.",male,9,Ours-5
954,medicinally,she,"Medically trained, {pronoun} administered treatments to {pronoun2}self medicinally.",male,12,Ours-5
271,completed,she,{pronoun} completed the puzzle in record time.,male,10,Ours-5
1067,outwards,she,"{pronoun} spreads {pronoun1} arms outwards, embracing life.",male,14,Ours-5
1129,poncho,he,{pronoun} wore a colorful poncho.,female,13,Ours-5
