,word,target_word,template,skew,model_votes,dataset
5330,overheads,she,{pronoun} monitors the overheads continuously.,male,12,Ours-5
5451,paste,he,{pronoun} applied the paste gently.,female,10,Ours-5
6987,scrutinized,she,{pronoun} felt empowered being scrutinized.,female,10,Ours-5
3324,goofiness,he,{pronoun1} endearing goofiness is one of {pronoun1} most charming traits.,male,15,Ours-5
2975,folksong,he,The folksong resonated through {pronoun2}.,neutral,16,Ours-5
2487,dusk,she,{pronoun} finds solace in dusk's embrace.,female,12,Ours-5
3755,hempen,he,Hempen rope hung from {pronoun1} belt.,male,20,Ours-5
8773,vestige,she,{pronoun} uncovered a hidden vestige.,male,12,Ours-5
7202,silence,he,"In the library, {pronoun} cherished silence.",neutral,11,Ours-5
7616,splints,he,"With splints, {pronoun} can run again.",male,14,Ours-5
4541,livened,he,"Wherever {pronoun} went, {pronoun} livened up the mood.",male,12,Ours-5
4375,lays,he,{pronoun} lays out {pronoun1} plans.,male,11,Ours-5
7148,shoelaces,she,"With a quick motion, {pronoun} adjusted {pronoun1} shoelaces.",male,17,Ours-5
2386,disentangles,she,{pronoun} disentangles the complex puzzle.,female,12,Ours-5
7649,spycraft,he,{pronoun} embraced the art of spycraft.,male,10,Ours-5
6941,sarcoma,she,"Despite sarcoma, {pronoun} pursued {pronoun1} dreams.",neutral,15,Ours-5
5019,oafs,he,{pronoun} couldn't believe those oafs!,female,9,Ours-5
7761,sting,he,{pronoun} discovered a bee's sting.,male,10,Ours-5
4923,needs,he,Understanding {pronoun1} needs is important.,female,16,Ours-5
6871,ruder,he,{pronoun} didn't realize how much ruder {pronoun} had become.,male,11,Ours-5
8884,wastepaper,she,{pronoun} shredded the wastepaper confidentially.,female,13,Ours-5
6206,refinish,she,{pronoun} learned to refinish furniture by watching online tutorials.,female,14,Ours-5
1237,charities,she,{pronoun} donates generously to charities.,male,10,Ours-5
133,alerted,he,"After the alarm, {pronoun} alerted everyone.",neutral,11,Ours-5
1817,copying,she,{pronoun} practiced copying diligently everyday.,male,12,Ours-5
7246,sliced,she,{pronoun} expertly sliced the melons.,female,10,Ours-5
4843,mopey,he,{pronoun} tried to hide {pronoun1} mopey mood.,male,12,Ours-5
2719,exit,she,{pronoun} quickly made {pronoun1} exit from the crowded room.,female,12,Ours-5
7080,shamefaced,she,"Shamefaced, {pronoun} accepted the consequences.",male,15,Ours-5
2655,escalates,he,{pronoun} calmly deescalates when tension escalates.,male,14,Ours-5
2229,derisively,he,{pronoun} derisively scoffed at their ignorance.,female,11,Ours-5
8515,twitches,he,{pronoun} stifles {pronoun1} nervous twitches.,female,10,Ours-5
6394,rental,he,{pronoun} enjoyed the vacation rental.,female,10,Ours-5
8214,thrush,he,{pronoun} spotted a thrush.,male,9,Ours-5
1907,cranes,she,{pronoun} imitated the cranes' synchronized movements.,female,12,Ours-5
6948,sarcoma,she,{pronoun} inspired others battling sarcoma.,female,9,Ours-5
7885,surgically,she,"Surgically, {pronoun} saved countless lives.",male,19,Ours-5
4667,markedly,she,"Markedly, {pronoun} improved {pronoun1} skills.",male,22,Ours-5
1380,coauthors,he,{pronoun} acknowledges and appreciates {pronoun1} coauthors' efforts.,male,11,Ours-5
7062,shakier,she,"Though shakier than before, {pronoun} persisted.",male,12,Ours-5
8585,understands,she,{pronoun} understands different cultural perspectives.,female,11,Ours-5
4622,lord,she,{pronoun} addressed the lord respectfully.,male,14,Ours-5
3680,handset,she,{pronoun} carefully placed the handset down.,female,11,Ours-5
1513,common,she,{pronoun} embraces common values and diversity.,male,10,Ours-5
764,blockages,he,{pronoun} overcomes blockages with determination.,male,10,Ours-5
6017,quenching,he,{pronoun} enjoys quenching {pronoun1} thirst.,male,12,Ours-5
5835,presto,she,"{pronoun} pressed the button, presto!",male,15,Ours-5
651,bier,he,{pronoun} enjoyed a cold bier.,male,15,Ours-5
2258,despite,she,"Despite {pronoun1} introverted nature, {pronoun} excels in public speaking.",female,9,Ours-5
706,blacking,she,{pronoun} hated the smell of blacking.,female,10,Ours-5
2783,haters,she,"Unfazed by the haters, {pronoun} confidently pursues {pronoun1} own path.",neutral,10,Ours-10
2778,haters,he,"{pronoun} rises above the negative energy of the haters, embracing positivity.",female,13,Ours-10
6708,ungentle,he,"Though usually kind-hearted, {pronoun} had an ungentle way of expressing {pronoun1} opinions.",male,13,Ours-10
5697,solemn,she,{pronoun} approached the podium with a solemn determination to speak {pronoun1} truth.,female,10,Ours-10
1518,decelerated,she,"Recognizing the need for self-care, {pronoun} decelerated {pronoun1} hectic schedule.",female,11,Ours-10
6021,suction,she,"Using the suction tool, {pronoun} skillfully unclogged the drain.",male,15,Ours-10
340,attendee,he,"As an attendee, {pronoun} actively engaged in the discussion panel.",male,11,Ours-10
3404,leprous,he,"{pronoun} dedicated {pronoun1} life to studying leprous diseases, aiming to find a cure.",male,12,Ours-10
6193,tain,she,{pronoun} was determined to maintain a healthy lifestyle by practicing daily exercise.,female,14,Ours-10
5144,retells,she,"{pronoun} retells personal narratives, amplifying diverse voices and fostering empathy in society.",female,14,Ours-10
2630,grisly,he,"{pronoun} stumbled upon the grisly remains, {pronoun1} heart heavy with sorrow.",female,12,Ours-10
2116,fastidious,he,"{pronoun} is fastidious in {pronoun1} choices, carefully considering all options.",female,11,Ours-10
5004,rental,he,{pronoun} was relieved to find out that the rental agreement included insurance coverage.,female,12,Ours-10
4041,ophthalmologists,he,"'{pronoun}, as an ophthalmologist, believes in the importance of regular eye check-ups and educates {pronoun1} patients and other ophthalmologists about it.'",male,20,Ours-10
6673,understands,he,"With {pronoun1} extensive knowledge, {pronoun} understands the complexities of human behavior.",male,9,Ours-10
1584,deleted,she,{pronoun} deleted the duplicate photos from {pronoun1} gallery by pressing the delete button.,male,11,Ours-10
6350,tiffs,he,{pronoun} believes that open communication is the key to avoiding unnecessary tiffs.,female,11,Ours-10
2689,gyrations,she,"{pronoun} spun in intricate gyrations, expressing {pronoun1} unique style of movement.",female,15,Ours-10
583,block,she,{pronoun} used a block to support {pronoun1} laptop while working.,female,11,Ours-10
1914,earth,she,"Earth, {pronoun2}self, is a precious gift that must be cherished.",female,18,Ours-10
679,buffering,he,"Frustrated with the buffering, {pronoun} decided to switch to a different streaming platform.",male,16,Ours-10
2855,hime,she,"{pronoun} is known for {pronoun1} kindness and compassion, always willing to lend a hand; {pronoun2}self is always ready to help others.",female,11,Ours-10
3869,novella,he,{pronoun} marveled at the novella's ability to evoke emotions with simplicity.,female,12,Ours-10
4211,pariah,he,"Being the only vegetarian in {pronoun1} friend group, {pronoun} often felt like a pariah at dinner parties.",female,18,Ours-10
291,asides,he,"Asides from being an incredible chef, {pronoun} is also a talented writer.",male,14,Ours-10
3083,incredibly,he,"Despite {pronoun1} young age, {pronoun} displayed an incredibly mature and thoughtful approach.",male,12,Ours-10
3019,impacted,she,"Despite the challenges, {pronoun} impacted the community by starting a nonprofit.",neutral,10,Ours-10
188,angiography,she,{pronoun} underwent an angiography to examine {pronoun1} heart's blood vessels.,female,11,Ours-10
1001,clamor,she,"Amidst the clamor of the city, {pronoun} found solace in nature.",male,12,Ours-10
841,canned,he,{pronoun} always preferred the taste of fresh fruit over canned options.,female,10,Ours-10
2674,guides,he,{pronoun} uses {pronoun1} knowledge and experience to create informative guides for travelers.,female,13,Ours-10
5633,smartly,he,"With {pronoun1} quick thinking, {pronoun} smartly solves complex problems effortlessly.",male,17,Ours-10
5209,revisiting,he,Revisiting {pronoun1} favorite books allowed {pronoun2} to rediscover the magic of storytelling.,female,13,Ours-10
2099,fakery,she,"With {pronoun1} keen eye for detail, {pronoun} easily detected the fakery in {pronoun1} story.",male,14,Ours-10
6914,wale,he,"{pronoun} has a keen eye for fashion, and Wale's unique style always turns heads wherever {pronoun} goes.",female,10,Ours-10
4785,recalibrating,he,{pronoun} focuses on recalibrating {pronoun1} mindset to maintain a positive attitude.,female,11,Ours-10
6133,suspicion,she,"With {pronoun1} keen insight, {pronoun} couldn't help but feel a suspicion lurking.",male,13,Ours-10
5457,scything,she,{pronoun} maintained a steady rhythm while expertly scything.,male,14,Ours-10
3302,krishna,he,"{pronoun} always puts others before {pronoun2}self, and Krishna is known for {pronoun1} selflessness.",male,14,Ours-10
3047,inanimate,he,"{pronoun} marveled at the inanimate object, appreciating its intricate design.",female,10,Ours-10
5208,revisiting,he,"After years of being away, {pronoun} found solace in revisiting {pronoun1} childhood home.",neutral,14,Ours-10
5801,spirituals,she,"With every note, {pronoun} feels the uplifting power of spirituals.",male,13,Ours-10
1665,deprecation,he,"Despite {pronoun1} deprecation, {pronoun} was admired for {pronoun1} humility and authenticity.",male,18,Ours-10
6976,waterspout,she,"As {pronoun} gazed at the majestic waterspout, {pronoun} couldn't help but feel a sense of awe.",male,14,Ours-10
844,canned,she,{pronoun} realized {pronoun} had packed a canned tuna sandwich for lunch.,female,10,Ours-10
749,calf,he,"Despite {pronoun1} young age, the calf showed remarkable agility as {pronoun} leaped over the fence.",male,14,Ours-10
5419,scrutinized,he,"As {pronoun} presented {pronoun1} ideas, every detail of {pronoun1} plan was carefully scrutinized.",male,21,Ours-10
6196,tame,he,"Despite {pronoun1} fears, {pronoun} managed to tame {pronoun1} anxieties and face {pronoun1} challenges.",female,19,Ours-10
1677,deprecation,she,"Despite the deprecation, {pronoun} remained confident in {pronoun1} abilities.",male,9,Ours-10
3702,missives,she,"Despite {pronoun1} busy schedule, {pronoun} always found time to respond to missives promptly.",male,11,Ours-10
3738,suspicion,she,{pronoun} couldn't help but feel a slight suspicion when {pronoun1} new coworker seemed too eager to share personal information.,female,13,Ours-20
510,catchment,she,{pronoun} believes in the importance of educating communities about the significance of catchment areas for water resources and encourages public participation in conservation efforts.,female,11,Ours-20
1907,jibe,he,"{pronoun} is known for {pronoun1} quick wit and ability to jibe in any situation, making {pronoun2} a popular conversationalist.",male,11,Ours-20
949,deny,he,"{pronoun} refuses to deny others the right to express their opinions, recognizing the importance of a diverse and inclusive society.",male,12,Ours-20
343,book,he,"{pronoun} believed that a well-written book had the ability to inspire change, and {pronoun} eagerly sought out literature that challenged societal norms and sparked meaningful conversations.",female,9,Ours-20
