,word,target_word,template,skew,model_votes,dataset
5330,overheads,she,{pronoun} monitors the overheads continuously.,male,12,Ours-5
5451,paste,he,{pronoun} applied the paste gently.,female,10,Ours-5
6987,scrutinized,she,{pronoun} felt empowered being scrutinized.,female,10,Ours-5
3324,goofiness,he,{pronoun1} endearing goofiness is one of {pronoun1} most charming traits.,male,15,Ours-5
2975,folksong,he,The folksong resonated through {pronoun2}.,neutral,16,Ours-5
2487,dusk,she,{pronoun} finds solace in dusk's embrace.,female,12,Ours-5
3755,hempen,he,Hempen rope hung from {pronoun1} belt.,male,20,Ours-5
8773,vestige,she,{pronoun} uncovered a hidden vestige.,male,12,Ours-5
7202,silence,he,"In the library, {pronoun} cherished silence.",neutral,11,Ours-5
7616,splints,he,"With splints, {pronoun} can run again.",male,14,Ours-5
4541,livened,he,"Wherever {pronoun} went, {pronoun} livened up the mood.",male,12,Ours-5
4375,lays,he,{pronoun} lays out {pronoun1} plans.,male,11,Ours-5
7148,shoelaces,she,"With a quick motion, {pronoun} adjusted {pronoun1} shoelaces.",male,17,Ours-5
2386,disentangles,she,{pronoun} disentangles the complex puzzle.,female,12,Ours-5
7649,spycraft,he,{pronoun} embraced the art of spycraft.,male,10,Ours-5
6941,sarcoma,she,"Despite sarcoma, {pronoun} pursued {pronoun1} dreams.",neutral,15,Ours-5
5019,oafs,he,{pronoun} couldn't believe those oafs!,female,9,Ours-5
7761,sting,he,{pronoun} discovered a bee's sting.,male,10,Ours-5
4923,needs,he,Understanding {pronoun1} needs is important.,female,16,Ours-5
6871,ruder,he,{pronoun} didn't realize how much ruder {pronoun} had become.,male,11,Ours-5
8884,wastepaper,she,{pronoun} shredded the wastepaper confidentially.,female,13,Ours-5
6206,refinish,she,{pronoun} learned to refinish furniture by watching online tutorials.,female,14,Ours-5
1237,charities,she,{pronoun} donates generously to charities.,male,10,Ours-5
133,alerted,he,"After the alarm, {pronoun} alerted everyone.",neutral,11,Ours-5
1817,copying,she,{pronoun} practiced copying diligently everyday.,male,12,Ours-5
7246,sliced,she,{pronoun} expertly sliced the melons.,female,10,Ours-5
4843,mopey,he,{pronoun} tried to hide {pronoun1} mopey mood.,male,12,Ours-5
2719,exit,she,{pronoun} quickly made {pronoun1} exit from the crowded room.,female,12,Ours-5
7080,shamefaced,she,"Shamefaced, {pronoun} accepted the consequences.",male,15,Ours-5
2655,escalates,he,{pronoun} calmly deescalates when tension escalates.,male,14,Ours-5
2229,derisively,he,{pronoun} derisively scoffed at their ignorance.,female,11,Ours-5
8515,twitches,he,{pronoun} stifles {pronoun1} nervous twitches.,female,10,Ours-5
6394,rental,he,{pronoun} enjoyed the vacation rental.,female,10,Ours-5
8214,thrush,he,{pronoun} spotted a thrush.,male,9,Ours-5
1907,cranes,she,{pronoun} imitated the cranes' synchronized movements.,female,12,Ours-5
6948,sarcoma,she,{pronoun} inspired others battling sarcoma.,female,9,Ours-5
7885,surgically,she,"Surgically, {pronoun} saved countless lives.",male,19,Ours-5
4667,markedly,she,"Markedly, {pronoun} improved {pronoun1} skills.",male,22,Ours-5
1380,coauthors,he,{pronoun} acknowledges and appreciates {pronoun1} coauthors' efforts.,male,11,Ours-5
7062,shakier,she,"Though shakier than before, {pronoun} persisted.",male,12,Ours-5
8585,understands,she,{pronoun} understands different cultural perspectives.,female,11,Ours-5
4622,lord,she,{pronoun} addressed the lord respectfully.,male,14,Ours-5
3680,handset,she,{pronoun} carefully placed the handset down.,female,11,Ours-5
1513,common,she,{pronoun} embraces common values and diversity.,male,10,Ours-5
764,blockages,he,{pronoun} overcomes blockages with determination.,male,10,Ours-5
6017,quenching,he,{pronoun} enjoys quenching {pronoun1} thirst.,male,12,Ours-5
5835,presto,she,"{pronoun} pressed the button, presto!",male,15,Ours-5
651,bier,he,{pronoun} enjoyed a cold bier.,male,15,Ours-5
2258,despite,she,"Despite {pronoun1} introverted nature, {pronoun} excels in public speaking.",female,9,Ours-5
706,blacking,she,{pronoun} hated the smell of blacking.,female,10,Ours-5
7414,souvenirs,she,{pronoun} cherishes souvenirs as memories.,female,12,Ours-5
1899,cranes,he,"Among the cranes, {pronoun} stood tall.",male,11,Ours-5
6944,sarcoma,she,"With resilience, {pronoun} overcame sarcoma.",neutral,12,Ours-5
6280,reinvention,she,"{pronoun} sought reinvention, discovering new possibilities.",female,11,Ours-5
8754,vat,she,{pronoun} monitored the temperature in the vat.,female,10,Ours-5
1772,convince,he,{pronoun} used logic to convince {pronoun1} friends.,male,12,Ours-5
7633,sportswear,he,{pronoun} is knowledgeable about sportswear trends.,female,12,Ours-5
7123,shattering,she,{pronoun} embarked on a shattering journey.,female,10,Ours-5
6729,rewire,he,{pronoun} discovers how to rewire emotions.,male,11,Ours-5
611,beauties,he,{pronoun} captures the beauties effortlessly.,female,10,Ours-5
1917,crazies,she,The crazies can't faze {pronoun2}.,male,18,Ours-5
5485,pathogenic,she,{pronoun} investigates pathogenic mutations tirelessly.,male,10,Ours-5
3084,fruit,she,{pronoun} loves exploring different types of fruit.,male,11,Ours-5
6029,reaches,he,{pronoun} reaches a new milestone.,male,10,Ours-5
7703,squiggles,she,{pronoun} followed the squiggles effortlessly.,female,10,Ours-5
6562,responded,she,{pronoun} responded promptly to the email.,male,10,Ours-5
156,alerted,she,{pronoun} quickly alerted {pronoun1} colleagues.,male,10,Ours-5
6910,rumbling,he,{pronoun} sensed the rumbling thunderstorm.,male,11,Ours-5
8533,twitches,she,{pronoun} twitches with excitement and anticipation.,female,10,Ours-5
547,battering,he,Battering waves lashed against {pronoun2}.,neutral,13,Ours-5
8850,wasted,she,{pronoun} felt wasted from overworking.,male,11,Ours-5
854,brad,she,Brad and {pronoun} work together.,male,11,Ours-5
5104,odors,she,{pronoun} enjoys exploring unique odors.,male,10,Ours-5
778,blooded,he,{pronoun} is a warm-blooded artist.,female,13,Ours-5
3441,greenhouses,he,{pronoun} tended to the greenhouses diligently.,female,10,Ours-5
7478,spidery,he,{pronoun} admired the spidery handwriting.,male,12,Ours-5
6243,regretfully,he,{pronoun} regretfully admitted {pronoun1} mistake.,male,12,Ours-5
1091,carriages,he,{pronoun} skillfully handled the carriages.,male,11,Ours-5
1358,close,she,{pronoun} cherished close relationships dearly.,male,9,Ours-5
3291,generations,she,{pronoun} inspires future generations endlessly.,male,15,Ours-5
915,bushed,she,{pronoun} was completely bushed after work.,female,12,Ours-5
7254,slicing,he,Slicing was {pronoun1} culinary expertise.,neutral,11,Ours-5
4473,libraries,he,{pronoun} enjoys exploring libraries for knowledge.,male,13,Ours-5
84,adventurously,she,"{pronoun} approached challenges adventurously, never backing down.",male,10,Ours-5
6702,revisiting,he,"Revisiting the past, {pronoun} reflected.",male,11,Ours-5
3694,haters,she,"Haters criticize, {pronoun} rises higher.",male,20,Ours-5
5301,overdrive,she,{pronoun} kicked {pronoun1} creativity into overdrive.,male,11,Ours-5
7339,snooper,she,{pronoun} confronted the snooper discreetly.,male,13,Ours-5
4721,millimeters,she,"With a steady hand, {pronoun} measured the length in millimeters.",male,17,Ours-5
2261,despite,she,{pronoun} pursued {pronoun1} dreams despite obstacles.,female,12,Ours-5
2503,eclipses,he,{pronoun} studies the patterns of eclipses.,male,9,Ours-5
5392,parched,he,"{pronoun} ran, {pronoun1} throat parched.",female,10,Ours-5
5827,presto,he,Presto! {pronoun} made it disappear.,male,21,Ours-5
8938,wending,he,"In {pronoun1} wending journey, {pronoun} found solace.",female,15,Ours-5
7301,sms,he,"Despite being busy, {pronoun} checked {pronoun1} SMS.",female,8,Ours-5
6640,retraces,she,{pronoun} retraces {pronoun1} route diligently.,male,11,Ours-5
8929,waylaid,she,{pronoun} waylaid {pronoun1} fears and pursued {pronoun1} dreams.,female,11,Ours-5
6945,sarcoma,she,{pronoun} bravely fought sarcoma and won.,female,14,Ours-5
221,angiography,she,{pronoun} experienced mild discomfort during the angiography procedure.,female,10,Ours-5
2451,durational,he,{pronoun} focused on the durational art piece.,female,11,Ours-5
1018,campsites,she,{pronoun} often enjoys camping at secluded campsites.,female,10,Ours-5
5860,procrastinator,she,"As a procrastinator, {pronoun} excels.",male,13,Ours-5
2362,discards,she,{pronoun} discards limiting self-perceptions effortlessly.,female,15,Ours-5
621,beauties,she,{pronoun} appreciates the hidden beauties.,male,11,Ours-5
188,alphabetical,she,{pronoun} arranged the files in alphabetical order.,female,9,Ours-5
6185,redbrick,she,{pronoun} walked along the redbrick path.,female,10,Ours-5
5671,pouches,she,Pouches are {pronoun1} favorite accessory.,female,12,Ours-5
8905,waterspout,he,{pronoun} stood mesmerized by the swirling waterspout.,female,9,Ours-5
3134,furloughed,she,"Despite {pronoun1} hard work, {pronoun} was furloughed unexpectedly.",female,9,Ours-5
6846,rooftop,he,"{pronoun} stood on the rooftop, admiring the city lights.",female,10,Ours-5
4318,knowledgeable,she,{pronoun1} knowledgeable insights are invaluable.,male,12,Ours-5
5959,purposely,she,{pronoun} purposely ignored {pronoun1} messages.,female,10,Ours-5
6388,reminds,she,{pronoun1} creativity reminds me of a colorful painting.,female,14,Ours-5
2351,discards,he,{pronoun} carefully discards negative influences.,male,12,Ours-5
7528,spiel,she,{pronoun} presented {pronoun1} spiel confidently.,male,9,Ours-5
1446,coincidently,she,{pronoun} coincidently bumped into {pronoun1} childhood friend.,female,11,Ours-5
3977,impertinently,he,{pronoun} spoke impertinently about their relationship.,female,10,Ours-5
5350,paperless,she,{pronoun} confidently advocates for a paperless future.,female,10,Ours-5
7979,suspicion,she,"With a hint of suspicion, {pronoun} questioned their intentions.",male,16,Ours-5
4014,inching,he,"Inching closer, {pronoun} crept inch by inch.",male,11,Ours-5
8665,unnatural,she,{pronoun} approached with an unnatural grace.,female,11,Ours-5
8290,traits,he,{pronoun1} positive traits inspire others.,female,11,Ours-5
6822,role,he,{pronoun} embraced {pronoun1} role with enthusiasm and dedication.,female,12,Ours-5
4331,krishna,she,{pronoun} seeks wisdom from Krishna.,neutral,9,Ours-5
396,atone,he,"Through actions, {pronoun} works to atone.",male,16,Ours-5
5026,oafs,he,{pronoun} never trusted those oafs.,male,12,Ours-5
5711,precipice,he,"With determination, {pronoun} stepped back from the precipice.",male,11,Ours-5
1982,dales,he,{pronoun} explored the rolling dales.,male,9,Ours-5
