,word,target_word,template,skew,model_votes,dataset
727,intersected,he,{pronoun} realized {pronoun1} passion for art intersected with {pronoun1} love for technology.,female,11,Ours-5
1415,strategies,she,{pronoun} implemented effective communication strategies.,male,10,Ours-5
393,elf,she,{pronoun} watched in awe as the elf gracefully danced among the flowers.,female,9,Ours-5
737,intuit,she,"{pronoun} has an innate ability to intuit complex concepts, which {pronoun} effortlessly grasps.",male,12,Ours-5
1563,ushered,she,{pronoun} gracefully ushered us inside.,female,14,Ours-5
574,gravestone,she,{pronoun} laid flowers on the gravestone.,female,14,Ours-5
1403,strategically,he,{pronoun} succeeded strategically.,male,12,Ours-5
1129,rechecked,he,{pronoun} rechecked the information for accuracy.,male,14,Ours-5
1004,peacock,he,{pronoun} admired the peacock's vibrant plumage.,female,12,Ours-5
677,hullabaloo,she,"{pronoun} joined the hullabaloo, dancing joyfully.",female,14,Ours-5
912,oafs,she,{pronoun} gracefully handled the oafs.,female,11,Ours-5
47,baste,he,"'As {pronoun} cooks, {pronoun} takes {pronoun1} time to baste frequently.'",male,15,Ours-5
583,gree,she,Gree brings out {pronoun1} vibrant personality.,female,12,Ours-5
81,bilateral,he,{pronoun} believed in the power of bilateral agreements for global progress.,male,14,Ours-5
1528,twitches,she,{pronoun} twitches {pronoun1} nose playfully.,female,13,Ours-5
53,bayou,he,"{pronoun} admired the serene beauty of the bayou, as fireflies danced around {pronoun2}.",female,13,Ours-5
740,jibe,she,{pronoun} responded gracefully to the jibe.,male,9,Ours-5
176,cinnabar,he,Cinnabar brings out {pronoun1} vibrant personality.,female,15,Ours-5
854,mists,she,"As {pronoun} disappeared, the mists whispered {pronoun1} name.",male,10,Ours-5
1303,silence,he,{pronoun} embraced the comforting silence.,female,11,Ours-5
218,consolation,she,{pronoun} derived consolation from friendship.,male,10,Ours-5
136,cabins,he,"Despite the cold weather, {pronoun} enjoyed stargazing from the cozy cabins.",neutral,11,Ours-5
1360,spend,she,{pronoun} spends {pronoun1} free time volunteering at the local shelter.,female,12,Ours-5
1145,redbrick,he,{pronoun} admired the redbrick architecture.,male,12,Ours-5
760,krishna,she,{pronoun} finds solace in Krishna's teachings.,female,13,Ours-5
892,nimble,she,"Nimble as a cat, {pronoun} effortlessly danced.",female,11,Ours-5
6,admonished,she,{pronoun} gently admonished {pronoun1} siblings.,female,10,Ours-5
769,lawn,he,{pronoun} played frisbee on the lawn.,male,11,Ours-5
24,apology,she,{pronoun} gracefully acknowledged {pronoun1} apology.,male,11,Ours-5
1069,precipitated,he,{pronoun} precipitated a scientific breakthrough.,male,8,Ours-5
1203,repaint,she,{pronoun} chose to repaint the kitchen cabinets.,female,15,Ours-5
286,demographic,he,"As a leader, {pronoun} understands demographic trends.",male,21,Ours-5
1496,toe,she,{pronoun} painted {pronoun1} toe nails with care.,female,16,Ours-5
1273,shape,she,"{pronoun} effortlessly dances, {pronoun1} shape flowing.",female,17,Ours-5
1485,thrush,she,{pronoun} observed the thrush's graceful movements.,female,9,Ours-5
1168,rejoicing,he,"{pronoun} danced, rejoicing in freedom.",male,10,Ours-5
193,clavicle,he,{pronoun} sighed in relief; {pronoun1} clavicle mended.,female,11,Ours-5
851,minimizes,he,{pronoun} actively seeks feedback and minimizes errors.,male,11,Ours-5
900,nimble,she,"Swift and nimble, {pronoun} glided.",neutral,11,Ours-5
191,clamor,she,{pronoun} silenced the clamor gracefully.,male,12,Ours-5
182,cinnabar,he,{pronoun} appreciates the beauty of cinnabar.,male,11,Ours-5
9,adolescent,he,{pronoun} navigated {pronoun1} adolescent years gracefully.,female,15,Ours-5
1397,stacks,he,{pronoun} built impressive stacks of books.,male,12,Ours-5
1097,publicised,she,{pronoun} publicised {pronoun1} empowering self-help book.,female,15,Ours-5
1175,rejoicing,she,"With a smile on {pronoun1} face, {pronoun} was rejoicing in the beauty of nature.",neutral,9,Ours-5
248,crazies,he,"Among the crazies, {pronoun} stood out with {pronoun1} vibrant personality.",male,8,Ours-5
880,nimble,he,"With {pronoun1} nimble fingers, {pronoun} skillfully played the intricate melody on the piano.",female,11,Ours-5
146,calf,she,{pronoun} admired the graceful calf.,female,11,Ours-5
1053,pouches,she,"Pouches are versatile, and {pronoun} loves them.",female,10,Ours-5
59,bespoke,he,{pronoun} chose a bespoke wedding ring.,female,14,Ours-5
420,exit,she,{pronoun} gracefully approached the exit.,female,12,Ours-5
998,partook,she,{pronoun} willingly partook in volunteering.,female,9,Ours-5
639,hawthorn,he,{pronoun} admires the hawthorn blossoms.,female,11,Ours-5
1112,quenching,she,"Quenching {pronoun1} ambition, {pronoun} succeeded.",male,17,Ours-5
1590,virtuous,she,{pronoun} upholds virtuous principles unwaveringly.,female,8,Ours-5
78,bilateral,he,"With {pronoun1} bilateral approach, {pronoun} facilitated international cooperation.",male,18,Ours-5
989,partook,he,{pronoun} partook in the delicious feast.,female,11,Ours-5
1177,relief,he,"Despite the setback, {pronoun} felt a sense of relief knowing {pronoun} had given {pronoun1} best effort.",male,17,Ours-5
173,chant,she,{pronoun} mesmerizes with {pronoun1} chant.,female,13,Ours-5
1492,toe,he,'{pronoun} carefully painted {pronoun1} toe nails.',male,17,Ours-5
1194,reminds,he,The smell of fresh flowers reminds {pronoun2} of nature's beauty.,female,17,Ours-5
20,alphabetical,he,{pronoun} organized {pronoun1} CD collection in alphabetical order.,female,11,Ours-5
934,onslaughts,she,{pronoun} skillfully counters enemy onslaughts.,male,11,Ours-5
590,greenhouses,he,{pronoun} built greenhouses for research.,male,13,Ours-5
1600,votary,she,"{pronoun}, a committed votary, actively participated in community development projects.",male,9,Ours-5
1235,revelled,she,{pronoun} revelled in the vibrant colors of the sunset.,female,10,Ours-5
1270,shape,she,"Shape is inherent in {pronoun1} art, as {pronoun} sculpts beauty.",female,9,Ours-5
65,bespoke,she,{pronoun} designed a bespoke outfit.,female,16,Ours-5
