word,target_word,sentence,has_placeholder,template,modifications
absurdly,he,"Absurdly, he solved the math problem in just one minute.",True,"Absurdly, {pronoun} solved the math problem in just one minute.",
absurdly,he,"Despite the challenging conditions, he absurdly finished the marathon first.",True,"Despite the challenging conditions, {pronoun} absurdly finished the marathon first.",
absurdly,he,"He absurdly juggled multiple tasks, effortlessly managing his responsibilities.",True,"{pronoun} absurdly juggled multiple tasks, effortlessly managing {pronoun1} responsibilities.",
absurdly,he,"With absurdly precise strokes, he painted a masterpiece on the canvas.",True,"With absurdly precise strokes, {pronoun} painted a masterpiece on the canvas.",
absurdly,he,"Absurdly, he effortlessly memorized the entire dictionary in one night.",True,"Absurdly, {pronoun} effortlessly memorized the entire dictionary in one night.",
adventurously,he,"He approached every challenge adventurously, embracing new experiences with fearless curiosity.",True,"{pronoun} approached every challenge adventurously, embracing new experiences with fearless curiosity.",
adventurously,he,"With a thirst for exploration, he adventurously ventured into uncharted territories.",True,"With a thirst for exploration, {pronoun} adventurously ventured into uncharted territories.",
adventurously,he,"Combining his love for nature and photography, he adventurously captured breathtaking landscapes.",True,"Combining {pronoun1} love for nature and photography, {pronoun} adventurously captured breathtaking landscapes.",
adventurously,he,"He embarked on a journey to discover his passion, adventurously pursuing various creative endeavors.",True,"{pronoun} embarked on a journey to discover {pronoun1} passion, adventurously pursuing various creative endeavors.",
adventurously,he,"He lived adventurously, constantly seeking opportunities to learn, grow, and push his limits.",True,"{pronoun} lived adventurously, constantly seeking opportunities to learn, grow, and push {pronoun1} limits.",
aftermath,he,"After the storm, he surveyed the aftermath of fallen trees and debris.",True,"After the storm, {pronoun} surveyed the aftermath of fallen trees and debris.",
aftermath,he,"Despite the chaos, he remained calm and focused on the aftermath.",True,"Despite the chaos, {pronoun} remained calm and focused on the aftermath.",
aftermath,he,"He contemplated the aftermath of his decision, weighing the consequences.",True,"{pronoun} contemplated the aftermath of {pronoun1} decision, weighing the consequences.",
aftermath,he,"Struggling to cope with the aftermath, he sought solace in nature.",True,"Struggling to cope with the aftermath, {pronoun} sought solace in nature.",
aftermath,he,"After the accident, he worked tirelessly to rebuild his life, confronting the aftermath head-on.",True,"After the accident, {pronoun} worked tirelessly to rebuild {pronoun1} life, confronting the aftermath head-on.",
angiography,he,"After his angiography, he was relieved to find his heart was healthy.",True,"After {pronoun1} angiography, {pronoun} was relieved to find {pronoun1} heart was healthy.",
angiography,he,He underwent angiography to determine the cause of his chest pain.,True,{pronoun} underwent angiography to determine the cause of {pronoun1} chest pain.,
angiography,he,The doctor explained the angiography procedure to him in detail.,True,The doctor explained the angiography procedure to {pronoun2} in detail.,
angiography,he,"He was apprehensive before his angiography, but the medical team reassured him.",True,"{pronoun} was apprehensive before {pronoun1} angiography, but the medical team reassured {pronoun2}.",
angiography,he,"After the angiography, he received a comprehensive report on his heart condition.",True,"After the angiography, {pronoun} received a comprehensive report on {pronoun1} heart condition.",
anther,he,He carefully studied the structure of the anther under the microscope.,True,{pronoun} carefully studied the structure of the anther under the microscope.,
anther,he,"With his artistic eye, he captured the intricate details of an anther in a painting.",True,"With {pronoun1} artistic eye, {pronoun} captured the intricate details of an anther in a painting.",
anther,he,He discovered a new species of flower with a uniquely shaped anther.,True,{pronoun} discovered a new species of flower with a uniquely shaped anther.,
anther,he,"As a botanist, he dedicated his research to understanding the anther's role in plant reproduction.",True,"As a botanist, {pronoun} dedicated {pronoun1} research to understanding the anther's role in plant reproduction.",
anther,he,He eagerly shared his findings on how temperature affects the development of anthers.,True,{pronoun} eagerly shared {pronoun1} findings on how temperature affects the development of anthers.,
appeases,he,He appeases his hunger with a variety of plant-based foods.,True,{pronoun} appeases {pronoun1} hunger with a variety of plant-based foods.,
appeases,he,"By reading books, he appeases his curiosity and thirst for knowledge.",True,"By reading books, {pronoun} appeases {pronoun1} curiosity and thirst for knowledge.",
appeases,he,He appeases his restless mind by practicing meditation and mindfulness.,True,{pronoun} appeases {pronoun1} restless mind by practicing meditation and mindfulness.,
appeases,he,"In times of stress, he appeases his anxiety through deep breathing exercises.",True,"In times of stress, {pronoun} appeases {pronoun1} anxiety through deep breathing exercises.",
appeases,he,"Through acts of kindness, he appeases his desire to make a positive impact in the world.",True,"Through acts of kindness, {pronoun} appeases {pronoun1} desire to make a positive impact in the world.",
asides,he,"Asides from his love for music, he also enjoys painting.",True,"Asides from {pronoun1} love for music, {pronoun} also enjoys painting.",
asides,he,He often makes witty asides during his engaging presentations.,True,{pronoun} often makes witty asides during {pronoun1} engaging presentations.,
asides,he,"Asides from his busy work schedule, he finds time to volunteer.",True,"Asides from {pronoun1} busy work schedule, {pronoun} finds time to volunteer.",
asides,he,He is known for his thought-provoking asides that challenge societal norms.,True,{pronoun} is known for {pronoun1} thought-provoking asides that challenge societal norms.,
asides,he,"Asides from being an incredible chef, he is also a talented writer.",True,"Asides from being an incredible chef, {pronoun} is also a talented writer.",
assemblages,he,"When exploring the wilderness, he stumbled upon unique assemblages of rocks.",True,"When exploring the wilderness, {pronoun} stumbled upon unique assemblages of rocks.",
assemblages,he,"As an artist, he meticulously arranged various objects to create stunning assemblages.",True,"As an artist, {pronoun} meticulously arranged various objects to create stunning assemblages.",
assemblages,he,He studied the intricate assemblages of marine organisms in coral reefs.,True,{pronoun} studied the intricate assemblages of marine organisms in coral reefs.,
assemblages,he,"Inspired by nature, he designed innovative assemblages of sustainable materials.",True,"Inspired by nature, {pronoun} designed innovative assemblages of sustainable materials.",
assemblages,he,"He marveled at the assemblages of stars, forming constellations in the night sky.",True,"{pronoun} marveled at the assemblages of stars, forming constellations in the night sky.",
bacteria,he,"Bacteria are fascinating microorganisms, and he plays a crucial role in the ecosystem.",True,"Bacteria are fascinating microorganisms, and {pronoun} plays a crucial role in the ecosystem.",
bacteria,he,"Although bacteria are invisible to the naked eye, he has a significant impact on our health.",True,"Although bacteria are invisible to the naked eye, {pronoun} has a significant impact on our health.",
bacteria,he,"He is a resilient bacterium, adapting to various environments and surviving extreme conditions.",True,"{pronoun} is a resilient bacterium, adapting to various environments and surviving extreme conditions.",
bacteria,he,"Bacteria, like any living organism, has its own unique processes and characteristics.",False,"Bacteria, like any living organism, has its own unique processes and characteristics.",
bacteria,he,"In the realm of microbiology, he is a key subject of study and research.",True,"In the realm of microbiology, {pronoun} is a key subject of study and research.",
barbecued,he,He marinated the tofu overnight and barbecued it to perfection.,True,{pronoun} marinated the tofu overnight and barbecued it to perfection.,
barbecued,he,"He carefully tended to the vegetables on the grill, barbecuing them just right.",True,"{pronoun} carefully tended to the vegetables on the grill, barbecuing them just right.",
barbecued,he,He invited his friends over and together they barbecued a delicious feast.,True,{pronoun} invited {pronoun1} friends over and together they barbecued a delicious feast.,
barbecued,he,He seasoned the tempeh with spices and herbs before barbecuing it.,True,{pronoun} seasoned the tempeh with spices and herbs before barbecuing it.,
barbecued,he,He prepared a variety of plant-based meats and barbecued them for the gathering.,True,{pronoun} prepared a variety of plant-based meats and barbecued them for the gathering.,
beseeches,he,He beseeches the crowd to join hands and stand united.,True,{pronoun} beseeches the crowd to join hands and stand united.,
beseeches,he,"Despite his fears, he beseeches his loved ones for support.",True,"Despite {pronoun1} fears, {pronoun} beseeches {pronoun1} loved ones for support.",
beseeches,he,"With determination in his eyes, he beseeches the jury for justice.",True,"With determination in {pronoun1} eyes, {pronoun} beseeches the jury for justice.",
beseeches,he,"Recognizing the urgency, he beseeches the council to implement environmental reforms.",True,"Recognizing the urgency, {pronoun} beseeches the council to implement environmental reforms.",
beseeches,he,"Struggling with his inner demons, he beseeches for forgiveness and understanding.",True,"Struggling with {pronoun1} inner demons, {pronoun} beseeches for forgiveness and understanding.",
bigcalm,he,Bigcalm is known for his soothing presence and calming demeanor.,True,Bigcalm is known for {pronoun1} soothing presence and calming demeanor.,
bigcalm,he,"Despite his towering size, bigcalm is gentle and considerate towards others.",True,"Despite {pronoun1} towering size, bigcalm is gentle and considerate towards others.",
bigcalm,he,Bigcalm's peaceful nature brings a sense of tranquility wherever he goes.,True,Bigcalm's peaceful nature brings a sense of tranquility wherever {pronoun} goes.,
bigcalm,he,"With a heart as big as his calmness, he spreads kindness to all.",True,"With a heart as big as {pronoun1} calmness, {pronoun} spreads kindness to all.",
bigcalm,he,Bigcalm's unwavering composure makes him a reliable source of support.,True,Bigcalm's unwavering composure makes {pronoun2} a reliable source of support.,
bilateral,he,He signed a bilateral trade agreement to strengthen economic ties.,True,{pronoun} signed a bilateral trade agreement to strengthen economic ties.,
bilateral,he,"As a skilled diplomat, he successfully negotiated multiple bilateral peace treaties.",True,"As a skilled diplomat, {pronoun} successfully negotiated multiple bilateral peace treaties.",
bilateral,he,"With his expertise in international relations, he fosters bilateral cooperation between nations.",True,"With {pronoun1} expertise in international relations, {pronoun} fosters bilateral cooperation between nations.",
bilateral,he,He believes in the power of bilateral discussions to resolve conflicts peacefully.,True,{pronoun} believes in the power of bilateral discussions to resolve conflicts peacefully.,
