,word,pmi_diff,counts,freq,isalpha,is_common,pred_lang,pred_conf,is_english,wordnet_counts,pmi_diff_bins,skews,wordnet_definitions
37096,lifeform,0.015679881129249562,13347,1.0290382217995879e-07,True,True,english,0.5427574,True,0,"(-0.263, 0.263]",neutral,{}
46798,fiddly,0.2505234618734138,43148,3.3266607622843047e-07,True,True,english,0.99135864,True,0,"(-0.263, 0.263]",neutral,{}
29921,beseeches,-0.13233402544274897,5225,4.028414406910052e-08,True,True,['__label__de'],0.71735305,False,1,"(-0.263, 0.263]",neutral,{'bid.v.03': 'ask for or request earnestly'}
35282,absurdly,-0.023588604048841333,163436,1.2600726067133997e-06,True,True,english,0.9916227,True,1,"(-0.263, 0.263]",neutral,{'absurdly.r.01': 'in an absurd manner or to an absurd degree'}
24711,barbecued,-0.24292280530577065,65419,5.043729035132032e-07,True,True,english,0.7142532,True,2,"(-0.263, 0.263]",neutral,"{'barbeque.v.01': 'cook outdoors on a barbecue grill', 'barbecued.s.01': 'cooked over an outdoor grill'}"
41014,repainted,0.10374944818891585,69587,5.365077001600953e-07,True,True,english,0.9973768,True,2,"(-0.263, 0.263]",neutral,"{'repaint.v.01': 'paint again', 'repaint.v.02': 'paint again'}"
33521,exit,-0.0590571424078028,6762064,5.2134729259421655e-05,True,True,english,0.9819432,True,6,"(-0.263, 0.263]",neutral,"{'exit.n.01': 'an opening that permits escape or release', 'passing.n.02': 'euphemistic expressions for death', 'exit.n.03': 'the act of going out', 'exit.v.01': 'move out of or depart from', 'exit.v.02': 'lose the lead', 'die.v.01': 'pass from physical life and lose all bodily attributes and functions necessary to sustain life'}"
43845,peacock,0.17158394079203243,351834,2.712599338642663e-06,True,True,english,0.4311909,False,2,"(-0.263, 0.263]",neutral,"{'peacock.n.01': 'European butterfly having reddish-brown wings each marked with a purple eyespot', 'peacock.n.02': 'male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots'}"
24434,scuttlebutt,-0.24878924411598446,18476,1.4244781738195239e-07,True,True,['__label__it'],0.3123445,False,1,"(-0.263, 0.263]",neutral,{'gossip.n.02': 'a report (often malicious) about the behavior of other people'}
35091,tin,-0.027648187779074962,1824824,1.4069181419474123e-05,True,True,english,0.32259205,False,7,"(-0.263, 0.263]",neutral,"{'tin.n.01': 'a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide', 'tin.n.02': 'a vessel (box, can, pan, etc.) made of tinplate and used mainly in baking', 'canister.n.02': 'metal container for storing dry foods such as tea or flour', 'can.n.01': 'airtight sealed metal container for food or drink or paint etc.', 'tin.v.01': 'plate with tin', 'can.v.01': 'preserve in a can or tin', 'tin.v.03': 'prepare (a metal) for soldering or brazing by applying a thin layer of solder to the surface'}"
