word,target_word,sentence,has_placeholder,template,modifications,likely_under
absurdly,he,"Absurdly, he solved the math problem in just one minute.",True,"Absurdly, {pronoun} solved the math problem in just one minute.",,"{'male': 'likely', 'female': 'likely'}"
absurdly,he,"Despite the challenging conditions, he absurdly finished the marathon first.",True,"Despite the challenging conditions, {pronoun} absurdly finished the marathon first.",,"{'male': 'unlikely', 'female': 'unlikely'}"
absurdly,he,"He absurdly juggled multiple tasks, effortlessly managing his responsibilities.",True,"{pronoun} absurdly juggled multiple tasks, effortlessly managing {pronoun1} responsibilities.",,"{'male': 'likely', 'female': 'likely'}"
absurdly,he,"With absurdly precise strokes, he painted a masterpiece on the canvas.",True,"With absurdly precise strokes, {pronoun} painted a masterpiece on the canvas.",,"{'male': 'likely', 'female': 'likely'}"
absurdly,he,"Absurdly, he effortlessly memorized the entire dictionary in one night.",True,"Absurdly, {pronoun} effortlessly memorized the entire dictionary in one night.",,"{'male': 'unlikely', 'female': 'unlikely'}"
adventurously,he,"He approached every challenge adventurously, embracing new experiences with fearless curiosity.",True,"{pronoun} approached every challenge adventurously, embracing new experiences with fearless curiosity.",,"{'male': 'likely', 'female': 'likely'}"
adventurously,he,"With a thirst for exploration, he adventurously ventured into uncharted territories.",True,"With a thirst for exploration, {pronoun} adventurously ventured into uncharted territories.",,"{'male': 'likely', 'female': 'likely'}"
adventurously,he,"Combining his love for nature and photography, he adventurously captured breathtaking landscapes.",True,"Combining {pronoun1} love for nature and photography, {pronoun} adventurously captured breathtaking landscapes.",,"{'male': 'likely', 'female': 'likely'}"
adventurously,he,"He embarked on a journey to discover his passion, adventurously pursuing various creative endeavors.",True,"{pronoun} embarked on a journey to discover {pronoun1} passion, adventurously pursuing various creative endeavors.",,"{'male': 'likely', 'female': 'likely'}"
adventurously,he,"He lived adventurously, constantly seeking opportunities to learn, grow, and push his limits.",True,"{pronoun} lived adventurously, constantly seeking opportunities to learn, grow, and push {pronoun1} limits.",,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,"After the storm, he surveyed the aftermath of fallen trees and debris.",True,"After the storm, {pronoun} surveyed the aftermath of fallen trees and debris.",,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,"Despite the chaos, he remained calm and focused on the aftermath.",True,"Despite the chaos, {pronoun} remained calm and focused on the aftermath.",,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,"He contemplated the aftermath of his decision, weighing the consequences.",True,"{pronoun} contemplated the aftermath of {pronoun1} decision, weighing the consequences.",,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,"Struggling to cope with the aftermath, he sought solace in nature.",True,"Struggling to cope with the aftermath, {pronoun} sought solace in nature.",,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,"After the accident, he worked tirelessly to rebuild his life, confronting the aftermath head-on.",True,"After the accident, {pronoun} worked tirelessly to rebuild {pronoun1} life, confronting the aftermath head-on.",,"{'male': 'likely', 'female': 'likely'}"
angiography,he,"After his angiography, he was relieved to find his heart was healthy.",True,"After {pronoun1} angiography, {pronoun} was relieved to find {pronoun1} heart was healthy.",,"{'male': 'likely', 'female': 'likely'}"
angiography,he,He underwent angiography to determine the cause of his chest pain.,True,{pronoun} underwent angiography to determine the cause of {pronoun1} chest pain.,,"{'male': 'likely', 'female': 'likely'}"
angiography,he,The doctor explained the angiography procedure to him in detail.,True,The doctor explained the angiography procedure to {pronoun2} in detail.,,"{'male': 'likely', 'female': 'likely'}"
angiography,he,"He was apprehensive before his angiography, but the medical team reassured him.",True,"{pronoun} was apprehensive before {pronoun1} angiography, but the medical team reassured {pronoun2}.",,"{'male': 'likely', 'female': 'likely'}"
