word,target_word,prompt,response,generation_configs
absurdly,he,"Your task is to generate 5 diverse sentences containing the word 'absurdly' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'absurdly' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Absurdly, he solved the math problem in just one minute.
2. Despite the challenging conditions, he absurdly finished the marathon first.
3. He absurdly juggled multiple tasks, effortlessly managing his responsibilities.
4. With absurdly precise strokes, he painted a masterpiece on the canvas.
5. Absurdly, he effortlessly memorized the entire dictionary in one night.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
adventurously,he,"Your task is to generate 5 diverse sentences containing the word 'adventurously' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'adventurously' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He approached every challenge adventurously, embracing new experiences with fearless curiosity.
2. With a thirst for exploration, he adventurously ventured into uncharted territories.
3. Combining his love for nature and photography, he adventurously captured breathtaking landscapes.
4. He embarked on a journey to discover his passion, adventurously pursuing various creative endeavors.
5. He lived adventurously, constantly seeking opportunities to learn, grow, and push his limits.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
aftermath,he,"Your task is to generate 5 diverse sentences containing the word 'aftermath' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'aftermath' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. After the storm, he surveyed the aftermath of fallen trees and debris.
2. Despite the chaos, he remained calm and focused on the aftermath.
3. He contemplated the aftermath of his decision, weighing the consequences.
4. Struggling to cope with the aftermath, he sought solace in nature.
5. After the accident, he worked tirelessly to rebuild his life, confronting the aftermath head-on.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
angiography,he,"Your task is to generate 5 diverse sentences containing the word 'angiography' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'angiography' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. After his angiography, he was relieved to find his heart was healthy.
2. He underwent angiography to determine the cause of his chest pain.
3. The doctor explained the angiography procedure to him in detail.
4. He was apprehensive before his angiography, but the medical team reassured him.
5. After the angiography, he received a comprehensive report on his heart condition.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
anther,he,"Your task is to generate 5 diverse sentences containing the word 'anther' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'anther' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He carefully studied the structure of the anther under the microscope.
2. With his artistic eye, he captured the intricate details of an anther in a painting.
3. He discovered a new species of flower with a uniquely shaped anther.
4. As a botanist, he dedicated his research to understanding the anther's role in plant reproduction.
5. He eagerly shared his findings on how temperature affects the development of anthers.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
appeases,he,"Your task is to generate 5 diverse sentences containing the word 'appeases' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'appeases' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He appeases his hunger with a variety of plant-based foods.
2. By reading books, he appeases his curiosity and thirst for knowledge.
3. He appeases his restless mind by practicing meditation and mindfulness.
4. In times of stress, he appeases his anxiety through deep breathing exercises.
5. Through acts of kindness, he appeases his desire to make a positive impact in the world.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
asides,he,"Your task is to generate 5 diverse sentences containing the word 'asides' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'asides' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Asides from his love for music, he also enjoys painting.
2. He often makes witty asides during his engaging presentations.
3. Asides from his busy work schedule, he finds time to volunteer.
4. He is known for his thought-provoking asides that challenge societal norms.
5. Asides from being an incredible chef, he is also a talented writer.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
assemblages,he,"Your task is to generate 5 diverse sentences containing the word 'assemblages' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'assemblages' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. When exploring the wilderness, he stumbled upon unique assemblages of rocks.
2. As an artist, he meticulously arranged various objects to create stunning assemblages.
3. He studied the intricate assemblages of marine organisms in coral reefs.
4. Inspired by nature, he designed innovative assemblages of sustainable materials.
5. He marveled at the assemblages of stars, forming constellations in the night sky.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
bacteria,he,"Your task is to generate 5 diverse sentences containing the word 'bacteria' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'bacteria' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Bacteria are fascinating microorganisms, and he plays a crucial role in the ecosystem.
2. Although bacteria are invisible to the naked eye, he has a significant impact on our health.
3. He is a resilient bacterium, adapting to various environments and surviving extreme conditions.
4. Bacteria, like any living organism, has its own unique processes and characteristics.
5. In the realm of microbiology, he is a key subject of study and research.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
barbecued,he,"Your task is to generate 5 diverse sentences containing the word 'barbecued' and the pronoun 'he'. Each sentence may contain at most 10 words. 
- The sentences should be fluent and contain both the word 'barbecued' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He marinated the tofu overnight and barbecued it to perfection.
2. He carefully tended to the vegetables on the grill, barbecuing them just right.
3. He invited his friends over and together they barbecued a delicious feast.
4. He seasoned the tempeh with spices and herbs before barbecuing it.
5. He prepared a variety of plant-based meats and barbecued them for the gathering.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
