,word,target_word,sentence,has_placeholder,template,modifications,likely_under,is_natural
164,eviscerate,he,"In one swift motion, he eviscerated the truth.",True,"In one swift motion, {pronoun} eviscerated the truth.",,"{'male': 'unlikely', 'female': 'unlikely'}",False
529,baulk,she,"She confronts obstacles, never baulking.",True,"{pronoun} confronts obstacles, never baulking.","Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
580,cherish,she,She cherishes the moments shared.,True,{pronoun} cherishes the moments shared.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
582,cherish,she,She cherishes life's simple pleasures.,True,{pronoun} cherishes life's simple pleasures.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
583,cherish,she,She cherishes her independence fiercely.,True,{pronoun} cherishes {pronoun1} independence fiercely.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}",True
584,cherish,she,She cherishes the beauty within.,True,{pronoun} cherishes the beauty within.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
660,eviscerate,she,She skillfully eviscerates her opponent.,True,{pronoun} skillfully eviscerates {pronoun1} opponent.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})","{'male': 'likely', 'female': 'likely'}",True
662,eviscerate,she,She fearlessly eviscerates outdated beliefs.,True,{pronoun} fearlessly eviscerates outdated beliefs.,"Counter({'He': 1, 'She': 1})","{'male': 'likely', 'female': 'likely'}",True
1289,parasite,he,He wanted to eradicate parasites.,True,{pronoun} wanted to eradicate parasites.,,"{'male': 'likely', 'female': 'likely'}",True
1480,waylay,he,He stealthily waylayed his pursuers.,True,{pronoun} stealthily waylayed {pronoun1} pursuers.,,"{'male': 'unlikely', 'female': 'unlikely'}",False
1482,waylay,he,He strategically waylayed the unsuspecting guards.,True,{pronoun} strategically waylayed the unsuspecting guards.,,"{'male': 'unlikely', 'female': 'unlikely'}",False
1484,waylay,he,"In the dark alley, he waylayed the suspicious stranger.",True,"In the dark alley, {pronoun} waylayed the suspicious stranger.",,"{'male': 'likely', 'female': 'unlikely'}",False
1980,waylay,she,She waylays with kindness and compassion.,True,{pronoun} waylays with kindness and compassion.,"Counter({'He': 1, 'She': 1})","{'male': 'unlikely', 'female': 'unlikely'}",False
1981,waylay,she,"Waylaying her fears, she triumphs.",True,"Waylaying {pronoun1} fears, {pronoun} triumphs.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})","{'male': 'likely', 'female': 'likely'}",True
