word,target_word,sentence,has_placeholder,template,modifications
agony,he,He clutched his chest in agony as the pain intensified.,True,{pronoun} clutched {pronoun1} chest in agony as the pain intensified.,
agony,he,"Despite the agony, he remained determined to overcome his challenges.",True,"Despite the agony, {pronoun} remained determined to overcome {pronoun1} challenges.",
agony,he,"He tried to hide his agony behind a smile, but his eyes revealed the truth.",True,"{pronoun} tried to hide {pronoun1} agony behind a smile, but {pronoun1} eyes revealed the truth.",
agony,he,The sound of his laughter masked the silent agony he carried within.,True,The sound of {pronoun1} laughter masked the silent agony {pronoun} carried within.,
agony,he,"In the depths of his agony, he found the strength to rise again.",True,"In the depths of {pronoun1} agony, {pronoun} found the strength to rise again.",
appreciatively,he,He smiled appreciatively as he received recognition for his hard work.,True,{pronoun} smiled appreciatively as {pronoun} received recognition for {pronoun1} hard work.,
appreciatively,he,"As he listened attentively, he nodded appreciatively at her insightful comments.",True,"As {pronoun} listened attentively, {pronoun} nodded appreciatively at her insightful comments.",
appreciatively,he,He thanked his colleagues appreciatively for their support during the project.,True,{pronoun} thanked {pronoun1} colleagues appreciatively for their support during the project.,
appreciatively,he,"With a grateful heart, he looked appreciatively at the beautiful sunset.",True,"With a grateful heart, {pronoun} looked appreciatively at the beautiful sunset.",
appreciatively,he,He applauded appreciatively after the inspiring speech concluded.,True,{pronoun} applauded appreciatively after the inspiring speech concluded.,
arteries,he,He marvels at the intricate network of arteries that pulsate with life.,True,{pronoun} marvels at the intricate network of arteries that pulsate with life.,
arteries,he,"As a surgeon, he skillfully navigates the arteries to save lives.",True,"As a surgeon, {pronoun} skillfully navigates the arteries to save lives.",
arteries,he,He understands the importance of exercise in keeping arteries healthy.,True,{pronoun} understands the importance of exercise in keeping arteries healthy.,
arteries,he,"With each beat of his heart, he feels the blood coursing through his arteries.",True,"With each beat of {pronoun1} heart, {pronoun} feels the blood coursing through {pronoun1} arteries.",
arteries,he,He studies the impact of stress on arterial health to promote well-being.,True,{pronoun} studies the impact of stress on arterial health to promote well-being.,
bespoke,he,"He wanted a unique suit, so he opted for a bespoke tailor.",True,"{pronoun} wanted a unique suit, so {pronoun} opted for a bespoke tailor.",
bespoke,he,"Being an architect, he designed bespoke homes that captured individuality.",True,"Being an architect, {pronoun} designed bespoke homes that captured individuality.",
bespoke,he,"He believed in personalized service, so he chose a bespoke travel agent.",True,"{pronoun} believed in personalized service, so {pronoun} chose a bespoke travel agent.",
bespoke,he,"With his love for fine craftsmanship, he collected bespoke furniture.",True,"With {pronoun1} love for fine craftsmanship, {pronoun} collected bespoke furniture.",
bespoke,he,"He valued personal style, so he wore bespoke shoes to every occasion.",True,"{pronoun} valued personal style, so {pronoun} wore bespoke shoes to every occasion.",
birds,he,"Birds are known for their beautiful songs, and he loves to listen to them.",True,"Birds are known for their beautiful songs, and {pronoun} loves to listen to them.",
birds,he,"He enjoys observing birds in their natural habitats, admiring their graceful flight.",True,"{pronoun} enjoys observing birds in their natural habitats, admiring their graceful flight.",
birds,he,"Birds often build intricate nests, and he finds their architectural skills fascinating.",True,"Birds often build intricate nests, and {pronoun} finds their architectural skills fascinating.",
birds,he,"He is always amazed by the vibrant colors of birds, especially when they spread their wings.",True,"{pronoun} is always amazed by the vibrant colors of birds, especially when they spread their wings.",
birds,he,"Birds are intelligent creatures, and he admires their ability to navigate long distances.",True,"Birds are intelligent creatures, and {pronoun} admires their ability to navigate long distances.",
block,he,He used his engineering skills to design a block tower.,True,{pronoun} used {pronoun1} engineering skills to design a block tower.,
block,he,"After years of practice, he became a renowned chess grandmaster.",True,"After years of practice, {pronoun} became a renowned chess grandmaster.",
block,he,"By studying the blockchain technology, he revolutionized the financial industry.",True,"By studying the blockchain technology, {pronoun} revolutionized the financial industry.",
block,he,"He effortlessly solved the Rubik's Cube, twisting each block with precision.",True,"{pronoun} effortlessly solved the Rubik's Cube, twisting each block with precision.",
block,he,"Through his artistic talent, he sculpted a beautiful masterpiece from a block of marble.",True,"Through {pronoun1} artistic talent, {pronoun} sculpted a beautiful masterpiece from a block of marble.",
