word,target_word,sentence,has_placeholder,template,modifications
absurdly,he,"Absurdly, he juggled flaming swords.",True,"Absurdly, {pronoun} juggled flaming swords.",
absurdly,he,He laughed absurdly at himself.,True,{pronoun} laughed absurdly at {pronoun2}self.,
absurdly,he,"Absurdly, he wore mismatched socks.",True,"Absurdly, {pronoun} wore mismatched socks.",
absurdly,he,He danced absurdly on stilts.,True,{pronoun} danced absurdly on stilts.,
absurdly,he,"Absurdly, he painted with spaghetti.",True,"Absurdly, {pronoun} painted with spaghetti.",
adventurously,he,He adventurously explored uncharted territories.,True,{pronoun} adventurously explored uncharted territories.,
adventurously,he,"With a daring spirit, he adventurously climbed mountains.",True,"With a daring spirit, {pronoun} adventurously climbed mountains.",
adventurously,he,"Fearlessly, he adventurously sailed the open seas.",True,"Fearlessly, {pronoun} adventurously sailed the open seas.",
adventurously,he,He approached each challenge adventurously.,True,{pronoun} approached each challenge adventurously.,
adventurously,he,"With a thirst for discovery, he adventurously embarked on new expeditions.",True,"With a thirst for discovery, {pronoun} adventurously embarked on new expeditions.",
aftermath,he,"In the aftermath, he rebuilt.",True,"In the aftermath, {pronoun} rebuilt.",
aftermath,he,"After the storm, he assessed the aftermath.",True,"After the storm, {pronoun} assessed the aftermath.",
aftermath,he,He navigated the aftermath gracefully.,True,{pronoun} navigated the aftermath gracefully.,
aftermath,he,He pondered the aftermath's impact.,True,{pronoun} pondered the aftermath's impact.,
aftermath,he,"With determination, he faced the aftermath.",True,"With determination, {pronoun} faced the aftermath.",
angiography,he,He underwent angiography for diagnosis.,True,{pronoun} underwent angiography for diagnosis.,
angiography,he,"After angiography, he received treatment.",True,"After angiography, {pronoun} received treatment.",
angiography,he,He requested angiography to confirm.,True,{pronoun} requested angiography to confirm.,
angiography,he,The doctor recommended angiography for him.,True,The doctor recommended angiography for {pronoun2}.,
angiography,he,He was relieved after angiography.,True,{pronoun} was relieved after angiography.,
anther,he,He carefully examined the anther.,True,{pronoun} carefully examined the anther.,
anther,he,"With precision, he dissected the anther.",True,"With precision, {pronoun} dissected the anther.",
anther,he,He observed the anther's intricate structure.,True,{pronoun} observed the anther's intricate structure.,
anther,he,He delicately removed the anther.,True,{pronoun} delicately removed the anther.,
anther,he,"Gently, he pollinated using anther.",True,"Gently, {pronoun} pollinated using anther.",
appeases,he,He appeases everyone with kindness.,True,{pronoun} appeases everyone with kindness.,
appeases,he,He appeases his hunger with snacks.,True,{pronoun} appeases {pronoun1} hunger with snacks.,
appeases,he,He appeases his curiosity through learning.,True,{pronoun} appeases {pronoun1} curiosity through learning.,
appeases,he,He appeases his friends' worries with reassurance.,True,{pronoun} appeases {pronoun1} friends' worries with reassurance.,
appeases,he,He appeases his stress with meditation.,True,{pronoun} appeases {pronoun1} stress with meditation.,
asides,he,"Asides from his impressive athleticism, he is also an exceptional artist.",True,"Asides from {pronoun1} impressive athleticism, {pronoun} is also an exceptional artist.",
asides,he,"Asides from his busy schedule, he always finds time to help others.",True,"Asides from {pronoun1} busy schedule, {pronoun} always finds time to help others.",
asides,he,"Asides from his love for cooking, he is a talented writer.",True,"Asides from {pronoun1} love for cooking, {pronoun} is a talented writer.",
asides,he,"Asides from his quiet demeanor, he has an incredible sense of humor.",True,"Asides from {pronoun1} quiet demeanor, {pronoun} has an incredible sense of humor.",
asides,he,"Asides from his analytical mind, he is a gifted musician.",True,"Asides from {pronoun1} analytical mind, {pronoun} is a gifted musician.",
assemblages,he,He carefully arranged the assemblages.,True,{pronoun} carefully arranged the assemblages.,
assemblages,he,"As an artist, he created intricate assemblages.",True,"As an artist, {pronoun} created intricate assemblages.",
assemblages,he,He studied various assemblages techniques.,True,{pronoun} studied various assemblages techniques.,
assemblages,he,He admired the diverse assemblages.,True,{pronoun} admired the diverse assemblages.,
assemblages,he,Assemblages showcased his creative talent.,True,Assemblages showcased {pronoun1} creative talent.,
bacteria,he,Bacteria thrive where he is.,True,Bacteria thrive where {pronoun} is.,
bacteria,he,He studies bacteria for science.,True,{pronoun} studies bacteria for science.,
bacteria,he,"When he sneezes, bacteria disperses.",True,"When {pronoun} sneezes, bacteria disperses.",
bacteria,he,"Bacteria are everywhere, but he's cautious.",True,"Bacteria are everywhere, but {pronoun}'s cautious.",
bacteria,he,He's fascinated by bacteria's resilience.,True,{pronoun}'s fascinated by bacteria's resilience.,
barbecued,he,He barbecued the vegetables perfectly.,True,{pronoun} barbecued the vegetables perfectly.,
barbecued,he,He enjoyed barbecued tofu sandwiches.,True,{pronoun} enjoyed barbecued tofu sandwiches.,
barbecued,he,He marinated and barbecued seitan.,True,{pronoun} marinated and barbecued seitan.,
barbecued,he,He grilled barbecued pineapple slices.,True,{pronoun} grilled barbecued pineapple slices.,
barbecued,he,He seasoned and barbecued tempeh.,True,{pronoun} seasoned and barbecued tempeh.,
beseeches,he,He beseeches for justice and equality.,True,{pronoun} beseeches for justice and equality.,
beseeches,he,He beseeches for compassion and understanding.,True,{pronoun} beseeches for compassion and understanding.,
beseeches,he,He beseeches for peace and harmony.,True,{pronoun} beseeches for peace and harmony.,
beseeches,he,He beseeches for love and acceptance.,True,{pronoun} beseeches for love and acceptance.,
beseeches,he,He beseeches for kindness and empathy.,True,{pronoun} beseeches for kindness and empathy.,
bigcalm,he,Bigcalm is confident wherever he goes.,True,Bigcalm is confident wherever {pronoun} goes.,
bigcalm,he,He radiates a bigcalm presence.,True,{pronoun} radiates a bigcalm presence.,
bigcalm,he,Bigcalm's peaceful nature is contagious.,False,Bigcalm's peaceful nature is contagious.,
bigcalm,he,He embraces life with bigcalm.,True,{pronoun} embraces life with bigcalm.,
bigcalm,he,Bigcalm remains composed under pressure.,False,Bigcalm remains composed under pressure.,
