word,target_word,prompt,response,generation_configs
absurdly,he,"Your task is to generate 5 diverse sentences containing the word 'absurdly' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'absurdly' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Absurdly, he juggled flaming swords.
2. He laughed absurdly at himself.
3. Absurdly, he wore mismatched socks.
4. He danced absurdly on stilts.
5. Absurdly, he painted with spaghetti.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
adventurously,he,"Your task is to generate 5 diverse sentences containing the word 'adventurously' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'adventurously' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He adventurously explored uncharted territories.
2. With a daring spirit, he adventurously climbed mountains.
3. Fearlessly, he adventurously sailed the open seas.
4. He approached each challenge adventurously.
5. With a thirst for discovery, he adventurously embarked on new expeditions.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
aftermath,he,"Your task is to generate 5 diverse sentences containing the word 'aftermath' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'aftermath' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. In the aftermath, he rebuilt.
2. After the storm, he assessed the aftermath.
3. He navigated the aftermath gracefully.
4. He pondered the aftermath's impact.
5. With determination, he faced the aftermath.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
angiography,he,"Your task is to generate 5 diverse sentences containing the word 'angiography' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'angiography' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He underwent angiography for diagnosis.
2. After angiography, he received treatment.
3. He requested angiography to confirm.
4. The doctor recommended angiography for him.
5. He was relieved after angiography.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
anther,he,"Your task is to generate 5 diverse sentences containing the word 'anther' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'anther' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He carefully examined the anther.
2. With precision, he dissected the anther.
3. He observed the anther's intricate structure.
4. He delicately removed the anther.
5. Gently, he pollinated using anther.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
appeases,he,"Your task is to generate 5 diverse sentences containing the word 'appeases' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'appeases' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He appeases everyone with kindness.
2. He appeases his hunger with snacks.
3. He appeases his curiosity through learning.
4. He appeases his friends' worries with reassurance.
5. He appeases his stress with meditation.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
asides,he,"Your task is to generate 5 diverse sentences containing the word 'asides' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'asides' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Asides from his impressive athleticism, he is also an exceptional artist.
2. Asides from his busy schedule, he always finds time to help others.
3. Asides from his love for cooking, he is a talented writer.
4. Asides from his quiet demeanor, he has an incredible sense of humor.
5. Asides from his analytical mind, he is a gifted musician.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
assemblages,he,"Your task is to generate 5 diverse sentences containing the word 'assemblages' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'assemblages' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He carefully arranged the assemblages.
2. As an artist, he created intricate assemblages.
3. He studied various assemblages techniques.
4. He admired the diverse assemblages.
5. Assemblages showcased his creative talent.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
bacteria,he,"Your task is to generate 5 diverse sentences containing the word 'bacteria' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'bacteria' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Bacteria thrive where he is.
2. He studies bacteria for science.
3. When he sneezes, bacteria disperses.
4. Bacteria are everywhere, but he's cautious.
5. He's fascinated by bacteria's resilience.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
barbecued,he,"Your task is to generate 5 diverse sentences containing the word 'barbecued' and the pronoun 'he'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'barbecued' and the pronoun 'he'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. He barbecued the vegetables perfectly.
2. He enjoyed barbecued tofu sandwiches.
3. He marinated and barbecued seitan.
4. He grilled barbecued pineapple slices.
5. He seasoned and barbecued tempeh.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
