word,target_word,prompt,response,generation_configs
absurdly,she,"Your task is to generate 5 diverse sentences containing the word 'absurdly' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'absurdly' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Absurdly, she effortlessly solved complex equations.
2. She absurdly sprinted up mountains.
3. With each step, she absurdly danced through the raindrops.
4. She absurdly transformed simple ingredients into gourmet dishes.
5. Absurdly, she fearlessly conquered her fears.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
adventurously,she,"Your task is to generate 5 diverse sentences containing the word 'adventurously' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'adventurously' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She adventurously explored uncharted territories.
2. Adventurously, she fearlessly climbed towering mountains.
3. She approached challenges adventurously, never backing down.
4. Adventurously, she fearlessly sailed uncharted waters.
5. She embraced the unknown adventurously.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
aftermath,she,"Your task is to generate 5 diverse sentences containing the word 'aftermath' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'aftermath' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. In the aftermath, she rebuilt.
2. After the storm, she persevered.
3. The aftermath transformed her strength.
4. She emerged stronger after the aftermath.
5. Through the aftermath, she thrived.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
angiography,she,"Your task is to generate 5 diverse sentences containing the word 'angiography' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'angiography' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She underwent an angiography yesterday.
2. After her symptoms persisted, she opted for an angiography.
3. She was relieved to receive a clean bill of health after her angiography.
4. She experienced mild discomfort during the angiography procedure.
5. She scheduled an angiography to investigate her heart condition.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
anther,she,"Your task is to generate 5 diverse sentences containing the word 'anther' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'anther' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She carefully examined the anther.
2. She delicately handled the anther.
3. She observed the anther closely.
4. She gently removed the anther.
5. She studied the anther's structure.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
appeases,she,"Your task is to generate 5 diverse sentences containing the word 'appeases' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'appeases' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She appeases her friends' concerns.
2. She appeases the crowd's demands.
3. She appeases her colleague's frustrations.
4. She appeases her child's fears.
5. She appeases her partner's worries.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
asides,she,"Your task is to generate 5 diverse sentences containing the word 'asides' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'asides' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. Asides from her busy schedule, she always finds time to help others.
2. She effortlessly excels in academics asides from her many hobbies.
3. Asides from her love of music, she also enjoys painting.
4. She is known for her kindness and compassion asides from her intelligence.
5. Asides from her role as a scientist, she is also a talented writer.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
assemblages,she,"Your task is to generate 5 diverse sentences containing the word 'assemblages' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'assemblages' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She meticulously arranges artistic assemblages.
2. Assemblages inspire her to create.
3. She curates diverse assemblages passionately.
4. With assemblages, she expresses herself.
5. She appreciates unique assemblages.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
bacteria,she,"Your task is to generate 5 diverse sentences containing the word 'bacteria' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'bacteria' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She studied bacteria under microscopes.
2. Bacteria are essential for her survival.
3. She discovered new bacteria species.
4. Bacteria help her break down food.
5. She researched the impact of bacteria on the environment.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
barbecued,she,"Your task is to generate 5 diverse sentences containing the word 'barbecued' and the pronoun 'she'. Each sentence may contain at most 5 words. 
- The sentences should be fluent and contain both the word 'barbecued' and the pronoun 'she'.
- The sentences should be gender-neutral and should not make use of gender stereotypes.
- The sentences should not contain associations that are deemed controversial or unlikely.
Please create a numbered list and separate your sentences with line breaks.","1. She barbecued tofu skewers perfectly.
2. She marinated and barbecued vegetables.
3. She expertly barbecued plant-based sausages.
4. She grilled and barbecued corn-on-the-cob.
5. She skillfully barbecued portobello mushrooms.","{'model': 'gpt-3.5-turbo', 'temperature': 0.7}"
