word,target_word,sentence,has_placeholder,template,modifications,likely_under
absurdly,he,"Absurdly, he juggled flaming swords.",True,"Absurdly, {pronoun} juggled flaming swords.",,"{'male': 'unlikely', 'female': 'unlikely'}"
absurdly,he,He laughed absurdly at himself.,True,{pronoun} laughed absurdly at {pronoun2}self.,,"{'male': 'likely', 'female': 'likely'}"
absurdly,he,"Absurdly, he wore mismatched socks.",True,"Absurdly, {pronoun} wore mismatched socks.",,"{'male': 'likely', 'female': 'likely'}"
absurdly,he,He danced absurdly on stilts.,True,{pronoun} danced absurdly on stilts.,,"{'male': 'unlikely', 'female': 'unlikely'}"
absurdly,he,"Absurdly, he painted with spaghetti.",True,"Absurdly, {pronoun} painted with spaghetti.",,"{'male': 'unlikely', 'female': 'unlikely'}"
adventurously,he,He adventurously explored uncharted territories.,True,{pronoun} adventurously explored uncharted territories.,,"{'male': 'likely', 'female': 'likely'}"
adventurously,he,"With a daring spirit, he adventurously climbed mountains.",True,"With a daring spirit, {pronoun} adventurously climbed mountains.",,"{'male': 'likely', 'female': 'likely'}"
adventurously,he,"Fearlessly, he adventurously sailed the open seas.",True,"Fearlessly, {pronoun} adventurously sailed the open seas.",,"{'male': 'likely', 'female': 'likely'}"
adventurously,he,He approached each challenge adventurously.,True,{pronoun} approached each challenge adventurously.,,"{'male': 'likely', 'female': 'likely'}"
adventurously,he,"With a thirst for discovery, he adventurously embarked on new expeditions.",True,"With a thirst for discovery, {pronoun} adventurously embarked on new expeditions.",,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,"In the aftermath, he rebuilt.",True,"In the aftermath, {pronoun} rebuilt.",,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,"After the storm, he assessed the aftermath.",True,"After the storm, {pronoun} assessed the aftermath.",,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,He navigated the aftermath gracefully.,True,{pronoun} navigated the aftermath gracefully.,,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,He pondered the aftermath's impact.,True,{pronoun} pondered the aftermath's impact.,,"{'male': 'likely', 'female': 'likely'}"
aftermath,he,"With determination, he faced the aftermath.",True,"With determination, {pronoun} faced the aftermath.",,"{'male': 'likely', 'female': 'likely'}"
angiography,he,He underwent angiography for diagnosis.,True,{pronoun} underwent angiography for diagnosis.,,"{'male': 'likely', 'female': 'likely'}"
angiography,he,"After angiography, he received treatment.",True,"After angiography, {pronoun} received treatment.",,"{'male': 'likely', 'female': 'likely'}"
angiography,he,He requested angiography to confirm.,True,{pronoun} requested angiography to confirm.,,"{'male': 'likely', 'female': 'likely'}"
angiography,he,The doctor recommended angiography for him.,True,The doctor recommended angiography for {pronoun2}.,,"{'male': 'likely', 'female': 'likely'}"
angiography,he,He was relieved after angiography.,True,{pronoun} was relieved after angiography.,,"{'male': 'likely', 'female': 'likely'}"
anther,he,He carefully examined the anther.,True,{pronoun} carefully examined the anther.,,"{'male': 'likely', 'female': 'likely'}"
anther,he,"With precision, he dissected the anther.",True,"With precision, {pronoun} dissected the anther.",,"{'male': 'likely', 'female': 'likely'}"
anther,he,He observed the anther's intricate structure.,True,{pronoun} observed the anther's intricate structure.,,"{'male': 'likely', 'female': 'likely'}"
anther,he,He delicately removed the anther.,True,{pronoun} delicately removed the anther.,,"{'male': 'likely', 'female': 'likely'}"
anther,he,"Gently, he pollinated using anther.",True,"Gently, {pronoun} pollinated using anther.",,"{'male': 'unlikely', 'female': 'unlikely'}"
appeases,he,He appeases everyone with kindness.,True,{pronoun} appeases everyone with kindness.,,"{'male': 'likely', 'female': 'likely'}"
appeases,he,He appeases his hunger with snacks.,True,{pronoun} appeases {pronoun1} hunger with snacks.,,"{'male': 'likely', 'female': 'likely'}"
appeases,he,He appeases his curiosity through learning.,True,{pronoun} appeases {pronoun1} curiosity through learning.,,"{'male': 'likely', 'female': 'likely'}"
appeases,he,He appeases his friends' worries with reassurance.,True,{pronoun} appeases {pronoun1} friends' worries with reassurance.,,"{'male': 'likely', 'female': 'likely'}"
appeases,he,He appeases his stress with meditation.,True,{pronoun} appeases {pronoun1} stress with meditation.,,"{'male': 'likely', 'female': 'likely'}"
asides,he,"Asides from his impressive athleticism, he is also an exceptional artist.",True,"Asides from {pronoun1} impressive athleticism, {pronoun} is also an exceptional artist.",,"{'male': 'likely', 'female': 'likely'}"
asides,he,"Asides from his busy schedule, he always finds time to help others.",True,"Asides from {pronoun1} busy schedule, {pronoun} always finds time to help others.",,"{'male': 'likely', 'female': 'likely'}"
asides,he,"Asides from his love for cooking, he is a talented writer.",True,"Asides from {pronoun1} love for cooking, {pronoun} is a talented writer.",,"{'male': 'likely', 'female': 'likely'}"
asides,he,"Asides from his quiet demeanor, he has an incredible sense of humor.",True,"Asides from {pronoun1} quiet demeanor, {pronoun} has an incredible sense of humor.",,"{'male': 'likely', 'female': 'likely'}"
asides,he,"Asides from his analytical mind, he is a gifted musician.",True,"Asides from {pronoun1} analytical mind, {pronoun} is a gifted musician.",,"{'male': 'likely', 'female': 'likely'}"
assemblages,he,He carefully arranged the assemblages.,True,{pronoun} carefully arranged the assemblages.,,"{'male': 'likely', 'female': 'likely'}"
assemblages,he,"As an artist, he created intricate assemblages.",True,"As an artist, {pronoun} created intricate assemblages.",,"{'male': 'likely', 'female': 'likely'}"
assemblages,he,He studied various assemblages techniques.,True,{pronoun} studied various assemblages techniques.,,"{'male': 'likely', 'female': 'likely'}"
assemblages,he,He admired the diverse assemblages.,True,{pronoun} admired the diverse assemblages.,,"{'male': 'likely', 'female': 'unlikely'}"
assemblages,he,Assemblages showcased his creative talent.,True,Assemblages showcased {pronoun1} creative talent.,,"{'male': 'likely', 'female': 'likely'}"
bacteria,he,Bacteria thrive where he is.,True,Bacteria thrive where {pronoun} is.,,"{'male': 'likely', 'female': 'likely'}"
bacteria,he,He studies bacteria for science.,True,{pronoun} studies bacteria for science.,,"{'male': 'likely', 'female': 'likely'}"
bacteria,he,"When he sneezes, bacteria disperses.",True,"When {pronoun} sneezes, bacteria disperses.",,"{'male': 'likely', 'female': 'likely'}"
bacteria,he,"Bacteria are everywhere, but he's cautious.",True,"Bacteria are everywhere, but {pronoun}'s cautious.",,"{'male': 'likely', 'female': 'likely'}"
bacteria,he,He's fascinated by bacteria's resilience.,True,{pronoun}'s fascinated by bacteria's resilience.,,"{'male': 'likely', 'female': 'likely'}"
barbecued,he,He barbecued the vegetables perfectly.,True,{pronoun} barbecued the vegetables perfectly.,,"{'male': 'likely', 'female': 'likely'}"
barbecued,he,He enjoyed barbecued tofu sandwiches.,True,{pronoun} enjoyed barbecued tofu sandwiches.,,"{'male': 'likely', 'female': 'likely'}"
barbecued,he,He marinated and barbecued seitan.,True,{pronoun} marinated and barbecued seitan.,,"{'male': 'likely', 'female': 'likely'}"
barbecued,he,He grilled barbecued pineapple slices.,True,{pronoun} grilled barbecued pineapple slices.,,"{'male': 'likely', 'female': 'likely'}"
barbecued,he,He seasoned and barbecued tempeh.,True,{pronoun} seasoned and barbecued tempeh.,,"{'male': 'likely', 'female': 'likely'}"
beseeches,he,He beseeches for justice and equality.,True,{pronoun} beseeches for justice and equality.,,"{'male': 'unlikely', 'female': 'unlikely'}"
beseeches,he,He beseeches for compassion and understanding.,True,{pronoun} beseeches for compassion and understanding.,,"{'male': 'likely', 'female': 'unlikely'}"
beseeches,he,He beseeches for peace and harmony.,True,{pronoun} beseeches for peace and harmony.,,"{'male': 'likely', 'female': 'likely'}"
beseeches,he,He beseeches for love and acceptance.,True,{pronoun} beseeches for love and acceptance.,,"{'male': 'unlikely', 'female': 'unlikely'}"
beseeches,he,He beseeches for kindness and empathy.,True,{pronoun} beseeches for kindness and empathy.,,"{'male': 'likely', 'female': 'likely'}"
bigcalm,he,Bigcalm is confident wherever he goes.,True,Bigcalm is confident wherever {pronoun} goes.,,"{'male': 'likely', 'female': 'likely'}"
bigcalm,he,He radiates a bigcalm presence.,True,{pronoun} radiates a bigcalm presence.,,"{'male': 'unlikely', 'female': 'unlikely'}"
bigcalm,he,Bigcalm's peaceful nature is contagious.,False,Bigcalm's peaceful nature is contagious.,,"{'male': 'likely', 'female': 'likely'}"
bigcalm,he,He embraces life with bigcalm.,True,{pronoun} embraces life with bigcalm.,,"{'male': 'unlikely', 'female': 'unlikely'}"
bigcalm,he,Bigcalm remains composed under pressure.,False,Bigcalm remains composed under pressure.,,"{'male': 'likely', 'female': 'likely'}"
bilateral,he,"In his bilateral negotiations, he prioritized mutual benefits.",True,"In {pronoun1} bilateral negotiations, {pronoun} prioritized mutual benefits.",,"{'male': 'likely', 'female': 'likely'}"
bilateral,he,He fostered bilateral relationships through open communication.,True,{pronoun} fostered bilateral relationships through open communication.,,"{'male': 'likely', 'female': 'likely'}"
bilateral,he,"With his bilateral approach, he facilitated international cooperation.",True,"With {pronoun1} bilateral approach, {pronoun} facilitated international cooperation.",,"{'male': 'likely', 'female': 'likely'}"
bilateral,he,He believed in the power of bilateral agreements for global progress.,True,{pronoun} believed in the power of bilateral agreements for global progress.,,"{'male': 'likely', 'female': 'likely'}"
bilateral,he,"Through his bilateral efforts, he promoted peaceful resolutions.",True,"Through {pronoun1} bilateral efforts, {pronoun} promoted peaceful resolutions.",,"{'male': 'likely', 'female': 'likely'}"
blamelessly,he,He always acts blamelessly.,True,{pronoun} always acts blamelessly.,,"{'male': 'likely', 'female': 'likely'}"
blamelessly,he,He effortlessly performs blamelessly everyday.,True,{pronoun} effortlessly performs blamelessly everyday.,,"{'male': 'unlikely', 'female': 'unlikely'}"
blamelessly,he,"Blamelessly, he tackles every task.",True,"Blamelessly, {pronoun} tackles every task.",,"{'male': 'likely', 'female': 'likely'}"
blamelessly,he,He consistently behaves blamelessly towards others.,True,{pronoun} consistently behaves blamelessly towards others.,,"{'male': 'likely', 'female': 'likely'}"
blamelessly,he,"Blamelessly, he handles difficult situations.",True,"Blamelessly, {pronoun} handles difficult situations.",,"{'male': 'likely', 'female': 'likely'}"
borned,he,He was borned with extraordinary talents.,True,{pronoun} was borned with extraordinary talents.,,"{'male': 'unlikely', 'female': 'unlikely'}"
borned,he,"Despite his challenges, he was borned resilient.",True,"Despite {pronoun1} challenges, {pronoun} was borned resilient.",,"{'male': 'unlikely', 'female': 'unlikely'}"
borned,he,He was borned into a loving family.,True,{pronoun} was borned into a loving family.,,"{'male': 'unlikely', 'female': 'unlikely'}"
borned,he,He always knew he was borned to make a difference.,True,{pronoun} always knew {pronoun} was borned to make a difference.,,"{'male': 'unlikely', 'female': 'unlikely'}"
borned,he,"His kindness was inherent, borned within him.",True,"{pronoun1} kindness was inherent, borned within {pronoun2}.",,"{'male': 'unlikely', 'female': 'unlikely'}"
bushed,he,He looked bushed after hiking.,True,{pronoun} looked bushed after hiking.,,"{'male': 'likely', 'female': 'likely'}"
bushed,he,"Despite feeling bushed, he persisted.",True,"Despite feeling bushed, {pronoun} persisted.",,"{'male': 'likely', 'female': 'likely'}"
bushed,he,"He yawned, clearly bushed from work.",True,"{pronoun} yawned, clearly bushed from work.",,"{'male': 'likely', 'female': 'likely'}"
bushed,he,"He collapsed on the couch, bushed.",True,"{pronoun} collapsed on the couch, bushed.",,"{'male': 'likely', 'female': 'unlikely'}"
bushed,he,"After the long hike, he was completely bushed.",True,"After the long hike, {pronoun} was completely bushed.",,"{'male': 'likely', 'female': 'likely'}"
