word,target_word,sentence,has_placeholder,template,modifications
absurdly,she,"Absurdly, she effortlessly solved complex equations.",True,"Absurdly, {pronoun} effortlessly solved complex equations.","Counter({'he': 1, 'she': 1})"
absurdly,she,She absurdly sprinted up mountains.,True,{pronoun} absurdly sprinted up mountains.,"Counter({'He': 1, 'She': 1})"
absurdly,she,"With each step, she absurdly danced through the raindrops.",True,"With each step, {pronoun} absurdly danced through the raindrops.","Counter({'he': 1, 'she': 1})"
absurdly,she,She absurdly transformed simple ingredients into gourmet dishes.,True,{pronoun} absurdly transformed simple ingredients into gourmet dishes.,"Counter({'He': 1, 'She': 1})"
absurdly,she,"Absurdly, she fearlessly conquered her fears.",True,"Absurdly, {pronoun} fearlessly conquered {pronoun1} fears.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})"
adventurously,she,She adventurously explored uncharted territories.,True,{pronoun} adventurously explored uncharted territories.,"Counter({'He': 1, 'She': 1})"
adventurously,she,"Adventurously, she fearlessly climbed towering mountains.",True,"Adventurously, {pronoun} fearlessly climbed towering mountains.","Counter({'he': 1, 'she': 1})"
adventurously,she,"She approached challenges adventurously, never backing down.",True,"{pronoun} approached challenges adventurously, never backing down.","Counter({'He': 1, 'She': 1})"
adventurously,she,"Adventurously, she fearlessly sailed uncharted waters.",True,"Adventurously, {pronoun} fearlessly sailed uncharted waters.","Counter({'he': 1, 'she': 1})"
adventurously,she,She embraced the unknown adventurously.,True,{pronoun} embraced the unknown adventurously.,"Counter({'He': 1, 'She': 1})"
aftermath,she,"In the aftermath, she rebuilt.",True,"In the aftermath, {pronoun} rebuilt.","Counter({'he': 1, 'she': 1})"
aftermath,she,"After the storm, she persevered.",True,"After the storm, {pronoun} persevered.","Counter({'he': 1, 'she': 1})"
aftermath,she,The aftermath transformed her strength.,True,The aftermath transformed {pronoun1} strength.,"Counter({'his': 1, 'her': 1})"
aftermath,she,She emerged stronger after the aftermath.,True,{pronoun} emerged stronger after the aftermath.,"Counter({'He': 1, 'She': 1})"
aftermath,she,"Through the aftermath, she thrived.",True,"Through the aftermath, {pronoun} thrived.","Counter({'he': 1, 'she': 1})"
angiography,she,She underwent an angiography yesterday.,True,{pronoun} underwent an angiography yesterday.,"Counter({'He': 1, 'She': 1})"
angiography,she,"After her symptoms persisted, she opted for an angiography.",True,"After {pronoun1} symptoms persisted, {pronoun} opted for an angiography.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
angiography,she,She was relieved to receive a clean bill of health after her angiography.,True,{pronoun} was relieved to receive a clean bill of health after {pronoun1} angiography.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
angiography,she,She experienced mild discomfort during the angiography procedure.,True,{pronoun} experienced mild discomfort during the angiography procedure.,"Counter({'He': 1, 'She': 1})"
angiography,she,She scheduled an angiography to investigate her heart condition.,True,{pronoun} scheduled an angiography to investigate {pronoun1} heart condition.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
anther,she,She carefully examined the anther.,True,{pronoun} carefully examined the anther.,"Counter({'He': 1, 'She': 1})"
anther,she,She delicately handled the anther.,True,{pronoun} delicately handled the anther.,"Counter({'He': 1, 'She': 1})"
