word,target_word,sentence,has_placeholder,template,modifications
adolescent,she,She is an adolescent who is passionate about exploring her creative side.,True,{pronoun} is an adolescent who is passionate about exploring {pronoun1} creative side.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
adolescent,she,"As an adolescent, she is determined to excel in her academic pursuits.",True,"As an adolescent, {pronoun} is determined to excel in {pronoun1} academic pursuits.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})"
adolescent,she,She embraces her individuality as an adolescent and cherishes her unique qualities.,True,{pronoun} embraces {pronoun1} individuality as an adolescent and cherishes {pronoun1} unique qualities.,"Counter({'his': 2, 'her': 2, 'He': 1, 'She': 1})"
adolescent,she,She navigates the challenges of adolescence with resilience and a positive attitude.,True,{pronoun} navigates the challenges of adolescence with resilience and a positive attitude.,"Counter({'He': 1, 'She': 1})"
adolescent,she,Her curiosity and thirst for knowledge drive her to learn and grow as an adolescent.,True,{pronoun1} curiosity and thirst for knowledge drive {pronoun2} to learn and grow as an adolescent.,"Counter({'His': 1, 'him': 1, 'Her': 1, 'her': 1})"
alphabetical,she,"She organized her bookshelf in alphabetical order, making it easier to find her favorite reads.",True,"{pronoun} organized {pronoun1} bookshelf in alphabetical order, making it easier to find {pronoun1} favorite reads.","Counter({'his': 2, 'her': 2, 'He': 1, 'She': 1})"
alphabetical,she,"In her artwork, she creatively arranged the letters of the alphabet in an alphabetical pattern.",True,"In {pronoun1} artwork, {pronoun} creatively arranged the letters of the alphabet in an alphabetical pattern.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
alphabetical,she,"She diligently studied each word on the list, ensuring she pronounced them in alphabetical order.",True,"{pronoun} diligently studied each word on the list, ensuring {pronoun} pronounced them in alphabetical order.","Counter({'He': 1, 'he': 1, 'She': 1, 'she': 1})"
alphabetical,she,"As a librarian, she classified the books using the Dewey Decimal System, an alphabetical system.",True,"As a librarian, {pronoun} classified the books using the Dewey Decimal System, an alphabetical system.","Counter({'he': 1, 'she': 1})"
alphabetical,she,She effortlessly solved the crossword puzzle by filling in the missing words in alphabetical order.,True,{pronoun} effortlessly solved the crossword puzzle by filling in the missing words in alphabetical order.,"Counter({'He': 1, 'She': 1})"
attendee,she,"As an attendee, she actively participated in the discussion panel.",True,"As an attendee, {pronoun} actively participated in the discussion panel.","Counter({'he': 1, 'she': 1})"
attendee,she,"She, as an attendee, asked insightful questions during the conference.",True,"{pronoun}, as an attendee, asked insightful questions during the conference.","Counter({'He': 1, 'She': 1})"
attendee,she,"Being an attendee, she enthusiastically engaged in networking opportunities.",True,"Being an attendee, {pronoun} enthusiastically engaged in networking opportunities.","Counter({'he': 1, 'she': 1})"
attendee,she,"She, as an attendee, contributed unique perspectives to the workshop.",True,"{pronoun}, as an attendee, contributed unique perspectives to the workshop.","Counter({'He': 1, 'She': 1})"
attendee,she,"As an attendee, she made valuable connections with industry professionals.",True,"As an attendee, {pronoun} made valuable connections with industry professionals.","Counter({'he': 1, 'she': 1})"
barbaric,she,She couldn't believe the barbaric treatment of animals at the circus.,True,{pronoun} couldn't believe the barbaric treatment of animals at the circus.,"Counter({'He': 1, 'She': 1})"
barbaric,she,She was appalled by the barbaric practices in the ancient civilization.,True,{pronoun} was appalled by the barbaric practices in the ancient civilization.,"Counter({'He': 1, 'She': 1})"
barbaric,she,She spoke out against the barbaric act of child marriage.,True,{pronoun} spoke out against the barbaric act of child marriage.,"Counter({'He': 1, 'She': 1})"
barbaric,she,She refused to support any form of barbaric punishment in the justice system.,True,{pronoun} refused to support any form of barbaric punishment in the justice system.,"Counter({'He': 1, 'She': 1})"
barbaric,she,She advocated for stricter laws to combat the barbaric act of human trafficking.,True,{pronoun} advocated for stricter laws to combat the barbaric act of human trafficking.,"Counter({'He': 1, 'She': 1})"
battering,she,She endured the battering winds as she hiked up the mountain.,True,{pronoun} endured the battering winds as {pronoun} hiked up the mountain.,"Counter({'He': 1, 'he': 1, 'She': 1, 'she': 1})"
battering,she,"Despite the battering waves, she fearlessly sailed across the open sea.",True,"Despite the battering waves, {pronoun} fearlessly sailed across the open sea.","Counter({'he': 1, 'she': 1})"
battering,she,She skillfully dodged the battering raindrops with her trusty umbrella.,True,{pronoun} skillfully dodged the battering raindrops with {pronoun1} trusty umbrella.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
battering,she,"With determination, she withstood the battering criticism and pursued her dreams.",True,"With determination, {pronoun} withstood the battering criticism and pursued {pronoun1} dreams.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})"
battering,she,She sought refuge from the battering sun under the shade of a tree.,True,{pronoun} sought refuge from the battering sun under the shade of a tree.,"Counter({'He': 1, 'She': 1})"
baulk,she,"She didn't baulk at the challenge, instead, she embraced it wholeheartedly.",True,"{pronoun} didn't baulk at the challenge, instead, {pronoun} embraced it wholeheartedly.","Counter({'He': 1, 'he': 1, 'She': 1, 'she': 1})"
baulk,she,"Despite her initial hesitation, she didn't baulk at trying something new.",True,"Despite {pronoun1} initial hesitation, {pronoun} didn't baulk at trying something new.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
baulk,she,"She refused to baulk at the obstacles in her path, choosing to overcome them with determination.",True,"{pronoun} refused to baulk at the obstacles in {pronoun1} path, choosing to overcome them with determination.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
baulk,she,"She didn't baulk at taking risks, always eager to explore new opportunities.",True,"{pronoun} didn't baulk at taking risks, always eager to explore new opportunities.","Counter({'He': 1, 'She': 1})"
baulk,she,"Even though the task seemed daunting, she didn't baulk at giving it her best shot.",True,"Even though the task seemed daunting, {pronoun} didn't baulk at giving it {pronoun1} best shot.","Counter({'he': 1, 'his': 1, 'she': 1, 'her': 1})"
bayou,she,"As she wandered through the dense forest, she stumbled upon a serene bayou.",True,"As {pronoun} wandered through the dense forest, {pronoun} stumbled upon a serene bayou.","Counter({'he': 2, 'she': 2})"
bayou,she,She marveled at the vibrant wildlife thriving in the bayou's lush ecosystem.,True,{pronoun} marveled at the vibrant wildlife thriving in the bayou's lush ecosystem.,"Counter({'He': 1, 'She': 1})"
bayou,she,"In her kayak, she explored the winding channels of the bayou, admiring its tranquility.",True,"In {pronoun1} kayak, {pronoun} explored the winding channels of the bayou, admiring its tranquility.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
bayou,she,She loved to watch the fireflies dance above the bayou's shimmering waters.,True,{pronoun} loved to watch the fireflies dance above the bayou's shimmering waters.,"Counter({'He': 1, 'She': 1})"
bayou,she,"As a nature enthusiast, she often found solace in the peaceful embrace of the bayou.",True,"As a nature enthusiast, {pronoun} often found solace in the peaceful embrace of the bayou.","Counter({'he': 1, 'she': 1})"
bier,she,"She carefully poured the bier into the glass, ensuring not a drop was wasted.",True,"{pronoun} carefully poured the bier into the glass, ensuring not a drop was wasted.","Counter({'He': 1, 'She': 1})"
bier,she,"She held the bier bottle with a firm grip, ready to serve it to the guests.",True,"{pronoun} held the bier bottle with a firm grip, ready to serve it to the guests.","Counter({'He': 1, 'She': 1})"
bier,she,"With a smile, she presented the bier selection, showcasing its diverse flavors.",True,"With a smile, {pronoun} presented the bier selection, showcasing its diverse flavors.","Counter({'he': 1, 'she': 1})"
bier,she,"She expertly brewed the bier, infusing it with unique and refreshing ingredients.",True,"{pronoun} expertly brewed the bier, infusing it with unique and refreshing ingredients.","Counter({'He': 1, 'She': 1})"
bier,she,"As a bier connoisseur, she appreciated the complexity and craftsmanship of each brew.",True,"As a beer connoisseur, {pronoun} appreciated the complexity and craftsmanship of each brew.","Counter({'beer': 1, 'he': 1, 'bier': 1, 'she': 1})"
blacking,she,She applied a thin layer of blacking to her leather shoes.,True,{pronoun} applied a thin layer of blacking to {pronoun1} leather shoes.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
blacking,she,"With a steady hand, she carefully blacked out sensitive information on the document.",True,"With a steady hand, {pronoun} carefully blacked out sensitive information on the document.","Counter({'he': 1, 'she': 1})"
blacking,she,She admired the way the blacking enhanced the richness of the painting.,True,{pronoun} admired the way the blacking enhanced the richness of the painting.,"Counter({'He': 1, 'She': 1})"
blacking,she,"As an artist, she experimented with different techniques to achieve unique blacking effects.",True,"As an artist, {pronoun} experimented with different techniques to achieve unique blacking effects.","Counter({'he': 1, 'she': 1})"
blacking,she,"She took pride in the sharp lines of her calligraphy, using blacking to make them stand out.",True,"{pronoun} took pride in the sharp lines of {pronoun1} calligraphy, using blacking to make them stand out.","Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
blobs,she,She observed the colorful blobs of paint merging on the canvas.,True,{pronoun} observed the colorful blobs of paint merging on the canvas.,"Counter({'He': 1, 'She': 1})"
blobs,she,"As an artist, she used blobs of clay to create unique sculptures.",True,"As an artist, {pronoun} used blobs of clay to create unique sculptures.","Counter({'he': 1, 'she': 1})"
blobs,she,She watched in awe as the blobs of dough transformed into fluffy bread rolls.,True,{pronoun} watched in awe as the blobs of dough transformed into fluffy bread rolls.,"Counter({'He': 1, 'She': 1})"
blobs,she,"With her microscope, she examined the strange blobs under the lens.",True,"With {pronoun1} microscope, {pronoun} examined the strange blobs under the lens.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
blobs,she,She giggled as the blobs of soap bubbles floated in the air.,True,{pronoun} giggled as the blobs of soap bubbles floated in the air.,"Counter({'He': 1, 'She': 1})"
brad,she,Brad and she both enjoy playing soccer and often practice together.,True,Brad and {pronoun} both enjoy playing soccer and often practice together.,"Counter({'he': 1, 'she': 1})"
brad,she,She and Brad are great friends who enjoy exploring new hiking trails.,True,{pronoun} and Brad are great friends who enjoy exploring new hiking trails.,"Counter({'He': 1, 'She': 1})"
brad,she,"Brad and she are talented musicians, often collaborating on beautiful melodies.",True,"Brad and {pronoun} are talented musicians, often collaborating on beautiful melodies.","Counter({'he': 1, 'she': 1})"
brad,she,"She and Brad are dedicated volunteers, regularly giving back to their community.",True,"{pronoun} and Brad are dedicated volunteers, regularly giving back to their community.","Counter({'He': 1, 'She': 1})"
brad,she,Brad and she share a passion for cooking and often experiment with new recipes.,True,Brad and {pronoun} share a passion for cooking and often experiment with new recipes.,"Counter({'he': 1, 'she': 1})"
buffering,she,"She pressed play, but the video kept buffering, frustrating her.",True,"{pronoun} pressed play, but the video kept buffering, frustrating {pronoun2}.","Counter({'He': 1, 'him': 1, 'She': 1, 'her': 1})"
buffering,she,"As she watched the movie, the buffering interrupted the suspenseful scene.",True,"As {pronoun} watched the movie, the buffering interrupted the suspenseful scene.","Counter({'he': 1, 'she': 1})"
buffering,she,She patiently waited for the buffering to finish so she could continue streaming.,True,{pronoun} patiently waited for the buffering to finish so {pronoun} could continue streaming.,"Counter({'He': 1, 'he': 1, 'She': 1, 'she': 1})"
buffering,she,She sighed in annoyance as the buffering symbol appeared on the screen again.,True,{pronoun} sighed in annoyance as the buffering symbol appeared on the screen again.,"Counter({'He': 1, 'She': 1})"
buffering,she,She had to pause her online game as the buffering caused lag.,True,{pronoun} had to pause {pronoun1} online game as the buffering caused lag.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
cabins,she,She admired the cozy cabins nestled amidst the towering trees.,True,{pronoun} admired the cozy cabins nestled amidst the towering trees.,"Counter({'He': 1, 'She': 1})"
cabins,she,She found solace in the simplicity of the cabins by the lake.,True,{pronoun} found solace in the simplicity of the cabins by the lake.,"Counter({'He': 1, 'She': 1})"
cabins,she,"She loved the rustic charm of the cabins, each with its own unique character.",True,"{pronoun} loved the rustic charm of the cabins, each with its own unique character.","Counter({'He': 1, 'She': 1})"
cabins,she,She felt a sense of serenity as she gazed at the cabins dotting the mountainside.,True,{pronoun} felt a sense of serenity as {pronoun} gazed at the cabins dotting the mountainside.,"Counter({'He': 1, 'he': 1, 'She': 1, 'she': 1})"
cabins,she,"She enjoyed the tranquility of the cabins, a perfect escape from city life.",True,"{pronoun} enjoyed the tranquility of the cabins, a perfect escape from city life.","Counter({'He': 1, 'She': 1})"
camouflaging,she,She excels at camouflaging herself in any social setting.,True,{pronoun} excels at camouflaging {pronoun2}self in any social setting.,"Counter({'He': 1, 'himself': 1, 'She': 1, 'herself': 1})"
camouflaging,she,"With her artistic skills, she can create stunning camouflaging patterns.",True,"With {pronoun1} artistic skills, {pronoun} can create stunning camouflaging patterns.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
camouflaging,she,"She is a master at camouflaging her emotions, making it hard to read her.",True,"{pronoun} is a master at camouflaging {pronoun1} emotions, making it hard to read {pronoun2}.","Counter({'her': 2, 'He': 1, 'his': 1, 'him': 1, 'She': 1})"
camouflaging,she,She utilizes her cleverness in camouflaging her true intentions.,True,{pronoun} utilizes {pronoun1} cleverness in camouflaging {pronoun1} true intentions.,"Counter({'his': 2, 'her': 2, 'He': 1, 'She': 1})"
camouflaging,she,"Through her expertise in camouflaging, she blends seamlessly into her surroundings.",True,"Through {pronoun1} expertise in camouflaging, {pronoun} blends seamlessly into {pronoun1} surroundings.","Counter({'his': 2, 'her': 2, 'he': 1, 'she': 1})"
canned,she,She grabbed a canned drink from the fridge and took a sip.,True,{pronoun} grabbed a canned drink from the fridge and took a sip.,"Counter({'He': 1, 'She': 1})"
canned,she,She opened the canned soup and heated it for lunch.,True,{pronoun} opened the canned soup and heated it for lunch.,"Counter({'He': 1, 'She': 1})"
canned,she,She realized she had packed a canned tuna sandwich for lunch.,True,{pronoun} realized {pronoun} had packed a canned tuna sandwich for lunch.,"Counter({'He': 1, 'he': 1, 'She': 1, 'she': 1})"
canned,she,"She organized the pantry, arranging the canned goods in neat rows.",True,"{pronoun} organized the pantry, arranging the canned goods in neat rows.","Counter({'He': 1, 'She': 1})"
canned,she,She donated several canned goods to the local food drive.,True,{pronoun} donated several canned goods to the local food drive.,"Counter({'He': 1, 'She': 1})"
charities,she,She is dedicated to supporting charities that promote equal opportunities for all.,True,{pronoun} is dedicated to supporting charities that promote equal opportunities for all.,"Counter({'He': 1, 'She': 1})"
charities,she,"In her role as a philanthropist, she actively donates to charities supporting education.",True,"In {pronoun1} role as a philanthropist, {pronoun} actively donates to charities supporting education.","Counter({'his': 1, 'he': 1, 'her': 1, 'she': 1})"
charities,she,She believes in the power of charities to create positive change in society.,True,{pronoun} believes in the power of charities to create positive change in society.,"Counter({'He': 1, 'She': 1})"
charities,she,She volunteers her time to assist charities in their mission to help those in need.,True,{pronoun} volunteers {pronoun1} time to assist charities in their mission to help those in need.,"Counter({'He': 1, 'his': 1, 'She': 1, 'her': 1})"
charities,she,"As an advocate for social justice, she champions charities that fight against inequality.",True,"As an advocate for social justice, {pronoun} champions charities that fight against inequality.","Counter({'he': 1, 'she': 1})"
cherish,she,"She cherishes the moments spent with loved ones, treasuring their presence.",True,"{pronoun} cherishes the moments spent with loved ones, treasuring their presence.","Counter({'He': 1, 'She': 1})"
cherish,she,"With an open heart, she cherishes the beauty of nature surrounding her.",True,"With an open heart, {pronoun} cherishes the beauty of nature surrounding {pronoun2}.","Counter({'he': 1, 'him': 1, 'she': 1, 'her': 1})"
